Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Ant::avxRandom",1,0.00,0x00066C1A,709,0,709,0,
"Ant::ConstructTour",1,0.00,0x0006621F,365,0,365,0,
"Ant::ConstructTour",1,0.00,0x00066237,368,0,368,0,
"Ant::ConstructTour",1,0.00,0x00066247,369,0,369,0,
"Ant::ConstructTour",1,0.00,0x000662A7,382,0,382,0,
"Ant::ConstructTour",1,0.00,0x000662DC,392,0,392,0,
"Ant::ConstructTour",1,0.00,0x0006631A,396,0,396,0,
"Ant::ConstructTour",1,0.00,0x00066325,396,0,396,0,
"Ant::ConstructTour",1,0.00,0x0006636F,408,0,408,0,
"Ant::ConstructTour",1,0.00,0x000663A0,408,0,408,0,
"Ant::ConstructTour",1,0.00,0x000663F1,412,0,412,0,
"Ant::ConstructTour",1,0.00,0x00066407,419,0,419,0,
"Ant::ConstructTour",1,0.00,0x000664D0,434,0,434,0,
"Ant::csRoulette",1,0.00,0x00066D02,531,0,531,0,
"Ant::csRoulette",1,0.00,0x00066D19,538,0,538,0,
"Ant::csRoulette",1,0.00,0x00066DF3,552,0,552,0,
"Ant::csRoulette",1,0.00,0x00066E1A,558,0,558,0,
"Ant::csRoulette",1,0.00,0x00066E9C,571,0,571,0,
"Ant::csRoulette",1,0.00,0x00066EF2,582,0,582,0,
"Ant::csRoulette",1,0.00,0x00066F0D,586,0,586,0,
"Ant::csRoulette",1,0.00,0x00066F10,586,0,586,0,
"Ant::csRoulette",1,0.00,0x00066FC7,604,0,604,0,
"Ant::csRoulette",1,0.00,0x00066FD1,606,0,606,0,
"Ant::csRoulette",1,0.00,0x00066FD2,606,0,606,0,
"Ant::csRoulette",1,0.00,0x00066FE4,607,0,607,0,
"Ant::csRoulette",1,0.00,0x00066FF6,607,0,607,0,
"Ant::csRoulette",1,0.00,0x0006707A,622,0,622,0,
"Ant::csRoulette",1,0.00,0x000670A4,625,0,625,0,
"Ant::csRoulette",1,0.00,0x000670B1,629,0,629,0,
"Ant::csRoulette",1,0.00,0x000670DD,633,0,633,0,
"Ant::csRoulette",1,0.00,0x000670DF,633,0,633,0,
"Ant::csRoulette",1,0.00,0x000670EA,633,0,633,0,
"Ant::csRoulette",1,0.00,0x000670F3,633,0,633,0,
"Ant::csRoulette",1,0.00,0x000670F4,633,0,633,0,
"Ant::iRoulette",1,0.00,0x000672D9,442,0,442,0,
"Ant::iRoulette",1,0.00,0x00067308,452,0,452,0,
"Ant::iRoulette",1,0.00,0x0006731D,456,0,456,0,
"Ant::iRoulette",1,0.00,0x00067329,458,0,458,0,
"Ant::iRoulette",1,0.00,0x00067355,460,0,460,0,
"Ant::iRoulette",1,0.00,0x00067361,465,0,465,0,
"Ant::iRoulette",1,0.00,0x00067372,465,0,465,0,
"Ant::iRoulette",1,0.00,0x00067375,465,0,465,0,
"Ant::iRoulette",1,0.00,0x0006737E,465,0,465,0,
"Ant::iRoulette",1,0.00,0x000673A3,469,0,469,0,
"Ant::iRoulette",1,0.00,0x000673B1,472,0,472,0,
"Ant::iRoulette",1,0.00,0x000673CF,479,0,479,0,
"Ant::iRoulette",1,0.00,0x000673D8,479,0,479,0,
"Ant::iRoulette",1,0.00,0x00067471,497,0,497,0,
"Ant::iRoulette",1,0.00,0x00067482,498,0,498,0,
"Ant::iRoulette",1,0.00,0x000674E9,510,0,510,0,
"Ant::iRoulette",1,0.00,0x000674EB,510,0,510,0,
"Ant::iRoulette",1,0.00,0x000674F1,510,0,510,0,
"Ant::iRoulette",1,0.00,0x00067532,515,0,515,0,
"Ant::iRoulette",1,0.00,0x00067566,519,0,519,0,
"Ant::iRoulette",1,0.00,0x0006756D,519,0,519,0,
"Ant::iRoulette",1,0.00,0x0006757A,519,0,519,0,
"AntSystem::Deposit",1,0.00,0x00064B7A,375,0,375,0,
"AntSystem::Deposit",1,0.00,0x00064BBB,378,0,378,0,
"AntSystem::Deposit",1,0.00,0x00064C28,382,0,382,0,
"AntSystem::Deposit",1,0.00,0x00064D00,386,0,386,0,
"AntSystem::Deposit",1,0.00,0x00064D53,390,0,390,0,
"AntSystem::Deposit",1,0.00,0x00064DBF,395,0,395,0,
"AntSystem::Deposit",1,0.00,0x00064DC1,395,0,395,0,
"AntSystem::Deposit",1,0.00,0x00064DD4,395,0,395,0,
"AntSystem::Deposit",1,0.00,0x00064DD7,395,0,395,0,
"AntSystem::Deposit",1,0.00,0x00064E10,396,0,396,0,
"AntSystem::DepositFromTour",1,0.00,0x00064FC1,264,0,264,0,
"AntSystem::DepositFromTour",1,0.00,0x00065031,270,0,270,0,
"AntSystem::DepositFromTour",1,0.00,0x00065046,270,0,270,0,
"AntSystem::GetTSP",1,0.00,0x00066666,53,0,53,0,
"Timers::StopTimer",1,0.00,0x000630C1,55,0,55,0,
