Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"__security_check_cookie",7,0.01,7,0.01,0,0,0,0,
"Ant::iRoulette",7,0.01,7,0.01,501,0,501,0,
"Ant::iRoulette",6,0.01,6,0.01,497,0,497,0,
"Ant::iRoulette",5,0.01,5,0.01,459,0,459,0,
"AntSystem::Deposit",5,0.01,5,0.01,377,0,377,0,
"Ant::ConstructTour",4,0.00,4,0.00,427,0,427,0,
"Ant::csRoulette",4,0.00,4,0.00,630,0,630,0,
"AntSystem::Deposit",4,0.00,4,0.00,395,0,395,0,
"@ILT+1035",3,0.00,3,0.00,0,0,0,0,
"Ant::iRoulette",3,0.00,3,0.00,452,0,452,0,
"Ant::iRoulette",3,0.00,3,0.00,498,0,498,0,
"Ant::iRoulette",3,0.00,3,0.00,507,0,507,0,
"Ant::iRoulette",3,0.00,3,0.00,515,0,515,0,
"AntSystem::Deposit",3,0.00,3,0.00,375,0,375,0,
"AntSystem::Deposit",3,0.00,3,0.00,396,0,396,0,
"Ant::ConstructTour",2,0.00,2,0.00,372,0,372,0,
"Ant::ConstructTour",2,0.00,2,0.00,396,0,396,0,
"Ant::iRoulette",2,0.00,2,0.00,506,0,506,0,
"AntSystem::DepositFromTour",2,0.00,2,0.00,270,0,270,0,
"Ant::ConstructTour",1,0.00,1,0.00,365,0,365,0,
"Ant::ConstructTour",1,0.00,1,0.00,368,0,368,0,
"Ant::ConstructTour",1,0.00,5,0.01,369,0,369,0,
"Ant::ConstructTour",1,0.00,1,0.00,382,0,382,0,
"Ant::ConstructTour",1,0.00,1,0.00,392,0,392,0,
"Ant::csRoulette",1,0.00,1,0.00,604,0,604,0,
"Ant::csRoulette",1,0.00,1,0.00,625,0,625,0,
"Ant::iRoulette",1,0.00,1,0.00,460,0,460,0,
"AntSystem::Deposit",1,0.00,1,0.00,378,0,378,0,
"AntSystem::Deposit",1,0.00,1,0.00,382,0,382,0,
"AntSystem::Deposit",1,0.00,1,0.00,390,0,390,0,
"AntSystem::DepositFromTour",1,0.00,1,0.00,264,0,264,0,
"Timers::StopTimer",1,0.00,1,0.00,55,0,55,0,
"__scrt_common_main",0,0.00,"95,363",100.00,301,0,301,0,
"__scrt_common_main_seh",0,0.00,"95,363",100.00,259,0,259,0,
"_vfprintf_l",0,0.00,3,0.00,639,0,639,0,
"Ant::ConstructTour",0,0.00,4,0.00,370,0,370,0,
"Ant::ConstructTour",0,0.00,16,0.02,380,0,380,0,
"Ant::ConstructTour",0,0.00,1,0.00,439,0,439,0,
"AntSystem::Deposit",0,0.00,13,0.01,295,0,295,0,
"AntSystem::DoTours",0,0.00,"94,909",99.52,240,0,240,0,
"AntSystem::Iterate",0,0.00,"94,909",99.52,447,0,447,0,
"AntSystem::Iterate",0,0.00,450,0.47,451,0,451,0,
"AntSystem::Solve",0,0.00,"95,360",100.00,471,0,471,0,
"AntSystem::Solve",0,0.00,3,0.00,475,0,475,0,
"invoke_main",0,0.00,"95,363",100.00,64,0,64,0,
"main",0,0.00,"95,363",100.00,42,0,42,0,
"mainCRTStartup",0,0.00,"95,363",100.00,16,0,16,0,
"printf",0,0.00,3,0.00,954,0,954,0,
