Run: 0
b'300' b'5858625.000000' b'5143.197594' b'19.309320' b'5162.507158' b'130157'
b'310' b'5858625.000000' b'5321.167696' b'20.046567' b'5341.214515' b'132189'
b'320' b'5858625.000000' b'5500.452832' b'20.843825' b'5521.296918' b'134233'
b'330' b'5858583.000000' b'5679.930782' b'21.534811' b'5701.465858' b'136159'
b'340' b'5858583.000000' b'5860.592311' b'22.247401' b'5882.839999' b'138111'
b'350' b'5858583.000000' b'6039.224574' b'22.952465' b'6062.177330' b'140025'
b'360' b'5857334.000000' b'6219.042117' b'23.660524' b'6242.702936' b'141900'
b'370' b'5857334.000000' b'6397.687806' b'24.398018' b'6422.086124' b'143788'
b'380' b'5857334.000000' b'6578.386690' b'25.117642' b'6603.504635' b'145596'
b'390' b'5857147.000000' b'6761.065501' b'25.849534' b'6786.915347' b'147329'
b'400' b'5857147.000000' b'6944.627057' b'26.643353' b'6971.270729' b'149122'
b'410' b'5857147.000000' b'7124.650530' b'27.365642' b'7152.016497' b'150872'
b'420' b'5857147.000000' b'7308.608192' b'28.125801' b'7336.734339' b'152581'
b'430' b'5856782.000000' b'7492.240452' b'28.848387' b'7521.089190' b'154243'
b'440' b'5856782.000000' b'7673.985670' b'29.587987' b'7703.574015' b'155963'
b'450' b'5856782.000000' b'7858.793968' b'30.327255' b'7889.121591' b'157669'
b'460' b'5856782.000000' b'8041.986512' b'31.059511' b'8073.046395' b'159270'
b'470' b'5856782.000000' b'8226.244066' b'31.806818' b'8258.051264' b'160862'
b'480' b'5856782.000000' b'8412.798985' b'32.563042' b'8445.362419' b'162487'
b'490' b'5856782.000000' b'8597.824246' b'33.373109' b'8631.197754' b'164076'
b'500' b'5856782.000000' b'8785.615592' b'34.138176' b'8819.754172' b'165697'
b'510' b'5856782.000000' b'8968.829083' b'34.909678' b'9003.739173' b'167284'
b'520' b'5856782.000000' b'9152.600368' b'35.682823' b'9188.283620' b'168855'
b'530' b'5856782.000000' b'9339.550029' b'36.443207' b'9375.993669' b'170416'
b'540' b'5856782.000000' b'9525.102124' b'37.218293' b'9562.320851' b'171967'
b'550' b'5856041.000000' b'9714.733771' b'37.984510' b'9752.718719' b'173456'
b'560' b'5856041.000000' b'9900.515633' b'38.748226' b'9939.264306' b'174952'
b'570' b'5856041.000000' b'10090.484570' b'39.523055' b'10130.008077' b'176420'
b'580' b'5856018.000000' b'10276.481447' b'40.301943' b'10316.783848' b'177822'
b'590' b'5856018.000000' b'10465.270129' b'41.073514' b'10506.344107' b'179254'
b'600' b'5856018.000000' b'10656.431260' b'41.901118' b'10698.332850' b'180717'
b'610' b'5856018.000000' b'10845.360734' b'42.682171' b'10888.043384' b'182154'
b'620' b'5856018.000000' b'11034.791331' b'43.462273' b'11078.254093' b'183570'
b'630' b'5856018.000000' b'11226.263755' b'44.258616' b'11270.522868' b'184906'
b'640' b'5856018.000000' b'11419.516044' b'45.124517' b'11464.641074' b'186320'
b'650' b'5856018.000000' b'11611.400644' b'45.946692' b'11657.347855' b'187638'
b'660' b'5856018.000000' b'11802.046159' b'46.851235' b'11848.897920' b'188984'
b'670' b'5856018.000000' b'11993.724063' b'47.653700' b'12041.378293' b'190323'
b'680' b'5856018.000000' b'12182.848718' b'48.492843' b'12231.342116' b'191636'
b'690' b'5856018.000000' b'12375.855860' b'49.309736' b'12425.166156' b'192942'
b'700' b'5856018.000000' b'12566.659773' b'50.138743' b'12616.799080' b'194292'
b'710' b'5856018.000000' b'12758.416864' b'50.938586' b'12809.356045' b'195544'
b'720' b'5856018.000000' b'12952.625009' b'51.812645' b'13004.438256' b'196773'
b'730' b'5856018.000000' b'13145.545232' b'52.625265' b'13198.171106' b'198009'
b'740' b'5856018.000000' b'13341.139242' b'53.493648' b'13394.633505' b'199287'
b'750' b'5856018.000000' b'13533.174857' b'54.328971' b'13587.504448' b'200539'
b'760' b'5856018.000000' b'13724.841839' b'55.205576' b'13780.048044' b'201734'
b'770' b'5856018.000000' b'13917.502308' b'56.077926' b'13973.580869' b'202926'
b'780' b'5856018.000000' b'14108.097997' b'56.909513' b'14165.008152' b'204189'
b'790' b'5856018.000000' b'14302.809605' b'57.853721' b'14360.663977' b'205409'
b'800' b'5856018.000000' b'14496.124475' b'58.725595' b'14554.850723' b'206536'
b'810' b'5856018.000000' b'14695.895920' b'59.564515' b'14755.461099' b'207656'
b'820' b'5856018.000000' b'14891.089099' b'60.394135' b'14951.483903' b'208791'
b'830' b'5856018.000000' b'15085.235251' b'61.240523' b'15146.476447' b'209991'
b'840' b'5856018.000000' b'15281.618430' b'62.105293' b'15343.724404' b'211182'
b'850' b'5856018.000000' b'15479.339294' b'62.954855' b'15542.294837' b'212309'
b'860' b'5856018.000000' b'15674.441519' b'63.784315' b'15738.226527' b'213473'
b'870' b'5856018.000000' b'15871.256338' b'64.636138' b'15935.893174' b'214587'
b'880' b'5856018.000000' b'16067.790363' b'65.482669' b'16133.273735' b'215690'
b'890' b'5856018.000000' b'16263.753414' b'66.339806' b'16330.093924' b'216750'
b'900' b'5856018.000000' b'16463.035649' b'67.170717' b'16530.207076' b'217863'
b'910' b'5856018.000000' b'16659.294827' b'68.006748' b'16727.302289' b'218943'
b'920' b'5856018.000000' b'16859.240706' b'68.890812' b'16928.132236' b'220068'
b'930' b'5856018.000000' b'17059.412381' b'69.769802' b'17129.182904' b'221162'
b'940' b'5856018.000000' b'17258.347777' b'70.715713' b'17329.064216' b'222291'
b'950' b'5856018.000000' b'17458.312705' b'71.567090' b'17529.880526' b'223401'
b'960' b'5856018.000000' b'17660.113434' b'72.463225' b'17732.577393' b'224447'
b'970' b'5856018.000000' b'17857.717299' b'73.426482' b'17931.144519' b'225558'
b'980' b'5856018.000000' b'18057.999763' b'74.305447' b'18132.305959' b'226597'
b'990' b'5856018.000000' b'18260.147938' b'75.193722' b'18335.342420' b'227675'
b'shortest' b'tour:' b'5855169.000000' b'time' b'18516.378913'
Run: 4
b'0' b'5890598.000000' b'11.255109' b'0.131505' b'11.386614' b'4018'
b'10' b'5890205.000000' b'164.786773' b'0.734160' b'165.520937' b'27604'
b'20' b'5887966.000000' b'327.104706' b'1.359212' b'328.463928' b'39326'
b'30' b'5884465.000000' b'491.983581' b'1.933959' b'493.917558' b'47407'
b'40' b'5882568.000000' b'658.939374' b'2.517629' b'661.457023' b'53752'
b'50' b'5880161.000000' b'830.475637' b'3.115477' b'833.591140' b'59137'
b'60' b'5880079.000000' b'998.332111' b'3.712133' b'1002.044274' b'63829'
b'70' b'5873978.000000' b'1171.530630' b'4.367569' b'1175.898235' b'67997'
b'80' b'5873379.000000' b'1342.338430' b'5.094906' b'1347.433378' b'71857'
b'90' b'5872057.000000' b'1512.996911' b'5.886399' b'1518.883362' b'75592'
b'100' b'5871917.000000' b'1683.582556' b'6.546195' b'1690.128806' b'79162'
b'110' b'5870240.000000' b'1855.992829' b'7.207442' b'1863.200331' b'82501'
b'120' b'5866926.000000' b'2025.748675' b'7.868702' b'2033.617444' b'85707'
b'130' b'5864762.000000' b'2195.958678' b'8.586931' b'2204.545699' b'88686'
b'140' b'5864762.000000' b'2367.675062' b'9.259704' b'2376.934858' b'91705'
b'150' b'5864762.000000' b'2540.129108' b'9.976863' b'2550.106070' b'94548'
b'160' b'5863581.000000' b'2712.894587' b'10.676030' b'2723.570734' b'97287'
b'170' b'5863581.000000' b'2885.284800' b'11.365679' b'2896.650600' b'99953'
b'180' b'5862958.000000' b'3058.363703' b'12.076750' b'3070.440577' b'102546'
b'190' b'5862033.000000' b'3230.991291' b'12.802044' b'3243.793466' b'105047'
b'200' b'5862033.000000' b'3401.128491' b'13.517720' b'3414.646349' b'107575'
b'210' b'5859944.000000' b'3577.013446' b'14.216799' b'3591.230386' b'109967'
b'220' b'5859944.000000' b'3749.624508' b'14.994000' b'3764.618655' b'112407'
b'230' b'5859944.000000' b'3927.653249' b'15.713144' b'3943.366549' b'114824'
b'240' b'5859386.000000' b'4102.357724' b'16.497504' b'4118.855392' b'117063'
b'250' b'5859386.000000' b'4279.844313' b'17.215435' b'4297.059961' b'119347'
b'260' b'5857777.000000' b'4456.483952' b'18.084659' b'4474.568830' b'121534'
b'270' b'5857777.000000' b'4634.244650' b'18.862179' b'4653.107051' b'123700'
b'280' b'5857777.000000' b'4812.117603' b'19.640874' b'4831.758707' b'125855'
b'290' b'5857777.000000' b'4990.962738' b'20.414727' b'5011.377701' b'127977'
b'300' b'5857777.000000' b'5169.040077' b'21.153577' b'5190.193894' b'130048'
b'310' b'5857303.000000' b'5350.200777' b'21.897922' b'5372.098945' b'132025'
b'320' b'5857303.000000' b'5527.477599' b'22.649970' b'5550.127820' b'133975'
b'330' b'5857074.000000' b'5707.350225' b'23.387615' b'5730.738096' b'135891'
b'340' b'5857074.000000' b'5887.395928' b'24.130373' b'5911.526563' b'137887'
b'350' b'5857074.000000' b'6069.452859' b'24.923025' b'6094.376151' b'139769'
b'360' b'5857074.000000' b'6250.226744' b'25.684654' b'6275.911668' b'141640'
b'370' b'5854822.000000' b'6431.445441' b'26.434679' b'6457.880396' b'143456'
b'380' b'5854822.000000' b'6611.965525' b'27.181921' b'6639.147730' b'145257'
b'390' b'5854822.000000' b'6794.089305' b'27.932228' b'6822.021823' b'147161'
b'400' b'5854822.000000' b'6974.758038' b'28.664861' b'7003.423195' b'148890'
b'410' b'5854822.000000' b'7156.846704' b'29.405701' b'7186.252705' b'150595'
b'420' b'5854822.000000' b'7336.574255' b'30.156622' b'7366.731187' b'152264'
b'430' b'5854822.000000' b'7519.104008' b'30.952699' b'7550.057025' b'153968'
b'440' b'5854822.000000' b'7703.205110' b'31.736760' b'7734.942192' b'155632'
b'450' b'5854822.000000' b'7886.446869' b'32.493944' b'7918.941138' b'157310'
b'460' b'5854822.000000' b'8073.556918' b'33.264805' b'8106.822056' b'158946'
b'470' b'5854822.000000' b'8256.701560' b'34.045483' b'8290.747379' b'160555'
b'480' b'5854822.000000' b'8440.346570' b'34.812646' b'8475.159557' b'162187'
b'490' b'5854822.000000' b'8627.467468' b'35.590087' b'8663.057904' b'163810'
b'500' b'5854822.000000' b'8812.288089' b'36.352356' b'8848.640798' b'165413'
b'510' b'5854822.000000' b'8998.603992' b'37.133810' b'9035.738160' b'166918'
b'520' b'5854822.000000' b'9186.112637' b'37.923679' b'9224.036679' b'168470'
b'530' b'5854822.000000' b'9372.768679' b'38.725969' b'9411.495017' b'169951'
b'540' b'5854822.000000' b'9558.470624' b'39.524657' b'9597.995655' b'171485'
b'550' b'5854822.000000' b'9745.640898' b'40.378150' b'9786.019430' b'172954'
b'560' b'5854822.000000' b'9935.364085' b'41.167680' b'9976.532151' b'174425'
b'570' b'5854822.000000' b'10122.856894' b'41.949386' b'10164.806669' b'175890'
b'580' b'5854822.000000' b'10311.852578' b'42.728361' b'10354.581334' b'177319'
b'590' b'5854822.000000' b'10503.074823' b'43.515883' b'10546.591108' b'178779'
b'600' b'5854822.000000' b'10692.733480' b'44.325153' b'10737.059039' b'180262'
b'610' b'5854822.000000' b'10881.168528' b'45.154749' b'10926.323688' b'181628'
b'620' b'5854822.000000' b'11072.331596' b'45.961412' b'11118.293424' b'182989'
b'630' b'5854822.000000' b'11263.308457' b'46.750461' b'11310.059343' b'184369'
b'640' b'5854822.000000' b'11453.330523' b'47.544500' b'11500.875452' b'185784'
b'650' b'5854822.000000' b'11646.038216' b'48.368001' b'11694.406648' b'187158'
b'660' b'5854822.000000' b'11836.803605' b'49.168217' b'11885.972257' b'188482'
b'670' b'5854822.000000' b'12027.886825' b'50.054097' b'12077.941383' b'189731'
b'680' b'5854822.000000' b'12218.311174' b'51.011297' b'12269.322937' b'191036'
b'690' b'5854822.000000' b'12412.856703' b'51.826113' b'12464.683287' b'192347'
b'700' b'5854822.000000' b'12604.677108' b'52.619707' b'12657.297292' b'193686'
b'710' b'5854822.000000' b'12797.659070' b'53.448193' b'12851.107748' b'195020'
b'720' b'5854822.000000' b'12991.603965' b'54.331505' b'13045.935963' b'196284'
b'730' b'5854822.000000' b'13185.546077' b'55.158348' b'13240.704924' b'197537'
b'740' b'5854822.000000' b'13378.404194' b'55.934182' b'13434.338879' b'198776'
b'750' b'5854822.000000' b'13574.236460' b'56.745526' b'13630.982496' b'199985'
b'760' b'5854822.000000' b'13767.928983' b'57.616904' b'13825.546409' b'201204'
b'770' b'5854822.000000' b'13964.194169' b'58.463752' b'14022.658446' b'202447'
b'780' b'5854822.000000' b'14157.979535' b'59.337417' b'14217.317480' b'203647'
b'790' b'5854822.000000' b'14350.733190' b'60.140999' b'14410.874747' b'204900'
b'800' b'5854822.000000' b'14547.911990' b'61.016934' b'14608.929485' b'206075'
b'810' b'5854822.000000' b'14747.594364' b'61.876596' b'14809.471528' b'207270'
b'820' b'5854822.000000' b'14943.556068' b'62.712192' b'15006.268832' b'208440'
b'830' b'5854822.000000' b'15140.351865' b'63.536391' b'15203.888832' b'209604'
b'840' b'5854822.000000' b'15338.179765' b'64.459190' b'15402.639536' b'210748'
b'850' b'5854822.000000' b'15536.050513' b'65.361360' b'15601.412456' b'211946'
b'860' b'5854822.000000' b'15732.039640' b'66.205423' b'15798.245650' b'213053'
b'870' b'5854822.000000' b'15931.271555' b'67.072726' b'15998.344874' b'214146'
b'880' b'5854822.000000' b'16127.649962' b'67.911494' b'16195.562059' b'215250'
b'890' b'5854822.000000' b'16323.952591' b'68.746801' b'16392.700000' b'216366'
b'900' b'5854822.000000' b'16526.187332' b'69.648863' b'16595.836810' b'217491'
b'910' b'5854822.000000' b'16728.892604' b'70.535112' b'16799.428338' b'218648'
b'920' b'5854822.000000' b'16931.780883' b'71.444856' b'17003.226366' b'219704'
b'930' b'5854822.000000' b'17132.258992' b'72.337382' b'17204.597008' b'220822'
b'940' b'5854822.000000' b'17332.648511' b'73.183623' b'17405.832776' b'221924'
b'950' b'5854822.000000' b'17533.914134' b'74.239836' b'17608.154615' b'222994'
b'960' b'5854822.000000' b'17734.903131' b'75.112052' b'17810.015830' b'224045'
b'970' b'5854822.000000' b'17937.008294' b'76.103829' b'18013.112805' b'225142'
b'980' b'5854822.000000' b'18137.690959' b'77.014365' b'18214.706010' b'226176'
b'990' b'5854822.000000' b'18339.093570' b'78.006972' b'18417.101232' b'227227'
b'shortest' b'tour:' b'5854822.000000' b'time' b'18599.032582'
Run: 5
b'0' b'5892709.000000' b'11.085303' b'0.055717' b'11.141020' b'4163'
b'10' b'5889594.000000' b'164.853819' b'0.633847' b'165.487672' b'27597'
b'20' b'5887488.000000' b'326.318713' b'1.291167' b'327.609903' b'39375'
b'30' b'5884904.000000' b'491.978093' b'1.886144' b'493.864275' b'47615'
b'40' b'5879774.000000' b'659.590784' b'2.480863' b'662.071689' b'53995'
b'50' b'5879774.000000' b'829.674685' b'3.084594' b'832.759326' b'59219'
b'60' b'5878071.000000' b'999.725303' b'3.693409' b'1003.418763' b'63865'
b'70' b'5875401.000000' b'1170.090081' b'4.480305' b'1174.570442' b'68095'
b'80' b'5872793.000000' b'1340.837918' b'5.179957' b'1346.017938' b'71999'
b'90' b'5872496.000000' b'1510.303203' b'5.889539' b'1516.192809' b'75630'
b'100' b'5870680.000000' b'1680.250293' b'6.521441' b'1686.771809' b'79156'
b'110' b'5870125.000000' b'1851.230790' b'7.254900' b'1858.485770' b'82511'
b'120' b'5868051.000000' b'2021.292373' b'7.906075' b'2029.198533' b'85654'
b'130' b'5865721.000000' b'2192.989302' b'8.610846' b'2201.600239' b'88806'
b'140' b'5864844.000000' b'2362.991156' b'9.313862' b'2372.305112' b'91776'
b'150' b'5864844.000000' b'2535.673605' b'10.017242' b'2545.690944' b'94771'
b'160' b'5864844.000000' b'2706.094960' b'10.687618' b'2716.782679' b'97608'
b'170' b'5862368.000000' b'2877.881501' b'11.338388' b'2889.219994' b'100205'
b'180' b'5862262.000000' b'3051.004283' b'12.030364' b'3063.034757' b'102843'
b'190' b'5861511.000000' b'3224.998345' b'12.708641' b'3237.707101' b'105418'
b'200' b'5861386.000000' b'3398.967867' b'13.431153' b'3412.399141' b'107905'
b'210' b'5861386.000000' b'3572.510411' b'14.199832' b'3586.710370' b'110350'
b'220' b'5861386.000000' b'3748.163536' b'14.919995' b'3763.083664' b'112736'
b'230' b'5860793.000000' b'3923.556603' b'15.627741' b'3939.184483' b'115074'
b'240' b'5859878.000000' b'4103.319757' b'16.314405' b'4119.634310' b'117403'
b'250' b'5856729.000000' b'4279.043743' b'17.067836' b'4296.111731' b'119618'
b'260' b'5856729.000000' b'4454.824036' b'17.767932' b'4472.592127' b'121807'
b'270' b'5856729.000000' b'4633.506414' b'18.455777' b'4651.962354' b'124007'
b'280' b'5856729.000000' b'4811.668828' b'19.155029' b'4830.824024' b'126201'
b'290' b'5856729.000000' b'4987.460043' b'19.834644' b'5007.294872' b'128270'
b'300' b'5856729.000000' b'5164.125774' b'20.517641' b'5184.643604' b'130274'
b'310' b'5856729.000000' b'5341.186379' b'21.209618' b'5362.396189' b'132379'
b'320' b'5856729.000000' b'5519.421970' b'21.904633' b'5541.326796' b'134431'
b'330' b'5856729.000000' b'5698.487235' b'22.616922' b'5721.104353' b'136411'
b'340' b'5856729.000000' b'5878.159759' b'23.315483' b'5901.475442' b'138270'
b'350' b'5856729.000000' b'6057.852104' b'24.024282' b'6081.876594' b'140147'
b'360' b'5856729.000000' b'6240.621382' b'24.810759' b'6265.432352' b'141970'
b'370' b'5856729.000000' b'6421.215067' b'25.575998' b'6446.791291' b'143850'
b'380' b'5856729.000000' b'6607.055535' b'26.319443' b'6633.375206' b'145756'
b'390' b'5856729.000000' b'6786.680802' b'27.137971' b'6813.819007' b'147501'
b'400' b'5856729.000000' b'6970.127908' b'27.952442' b'6998.080592' b'149256'
b'410' b'5856729.000000' b'7153.757164' b'28.782852' b'7182.540263' b'151051'
b'420' b'5856658.000000' b'7335.595186' b'29.591042' b'7365.186491' b'152816'
b'430' b'5856658.000000' b'7516.967581' b'30.328030' b'7547.295878' b'154570'
b'440' b'5856658.000000' b'7701.217386' b'31.114511' b'7732.332184' b'156301'
b'450' b'5856658.000000' b'7884.776550' b'32.006332' b'7916.783177' b'157973'
b'460' b'5856658.000000' b'8070.008006' b'32.753579' b'8102.761903' b'159660'
b'470' b'5856658.000000' b'8257.851472' b'33.502253' b'8291.354048' b'161311'
b'480' b'5856658.000000' b'8441.647307' b'34.271879' b'8475.919517' b'162876'
b'490' b'5856658.000000' b'8627.104076' b'35.174241' b'8662.278653' b'164464'
b'500' b'5856658.000000' b'8814.409139' b'36.089861' b'8850.499341' b'165996'
b'510' b'5856658.000000' b'9000.861775' b'36.956401' b'9037.818523' b'167509'
b'520' b'5856658.000000' b'9187.950919' b'37.773044' b'9225.724318' b'169023'
b'530' b'5856658.000000' b'9374.314981' b'38.606736' b'9412.922077' b'170479'
b'540' b'5856658.000000' b'9560.032823' b'39.378131' b'9599.411322' b'172061'
b'550' b'5855926.000000' b'9744.826579' b'40.170429' b'9784.997382' b'173619'
b'560' b'5855926.000000' b'9934.269494' b'40.982978' b'9975.252854' b'175048'
b'570' b'5855926.000000' b'10121.697985' b'41.750019' b'10163.448393' b'176452'
b'580' b'5855070.000000' b'10311.968342' b'42.536067' b'10354.504802' b'177825'
b'590' b'5855070.000000' b'10503.028344' b'43.369956' b'10546.398696' b'179315'
b'600' b'5855070.000000' b'10690.311906' b'44.200451' b'10734.512757' b'180736'
b'610' b'5855070.000000' b'10884.662016' b'45.057184' b'10929.719601' b'182118'
b'620' b'5855070.000000' b'11074.774876' b'45.895722' b'11120.671004' b'183569'
b'630' b'5855070.000000' b'11266.366055' b'46.697263' b'11313.063728' b'184909'
b'640' b'5855070.000000' b'11463.114150' b'47.589582' b'11510.704145' b'186264'
b'650' b'5855070.000000' b'11655.200226' b'48.506806' b'11703.707449' b'187618'
b'660' b'5855070.000000' b'11846.928808' b'49.352126' b'11896.281359' b'188945'
b'670' b'5855070.000000' b'12039.253794' b'50.182738' b'12089.436963' b'190271'
b'680' b'5855070.000000' b'12231.981066' b'50.994120' b'12282.975618' b'191556'
b'690' b'5855070.000000' b'12425.603142' b'51.803618' b'12477.407217' b'192900'
b'700' b'5855070.000000' b'12617.284375' b'52.608674' b'12669.893510' b'194152'
b'710' b'5855070.000000' b'12812.138970' b'53.441124' b'12865.580558' b'195367'
b'720' b'5855070.000000' b'13004.948541' b'54.241763' b'13059.190777' b'196664'
b'730' b'5855070.000000' b'13200.122962' b'55.078809' b'13255.202252' b'197984'
b'740' b'5855070.000000' b'13395.780486' b'55.954869' b'13451.735841' b'199303'
b'750' b'5855070.000000' b'13591.910713' b'56.780507' b'13648.691728' b'200559'
b'760' b'5855070.000000' b'13787.782405' b'57.642859' b'13845.425793' b'201782'
b'770' b'5855070.000000' b'13981.388035' b'58.492801' b'14039.881368' b'202996'
b'780' b'5855070.000000' b'14176.374094' b'59.325142' b'14235.699773' b'204234'
b'790' b'5855070.000000' b'14371.766868' b'60.176444' b'14431.943852' b'205441'
b'800' b'5855070.000000' b'14565.795680' b'61.068962' b'14626.865199' b'206617'
b'810' b'5855070.000000' b'14762.159427' b'61.921584' b'14824.081569' b'207771'
b'820' b'5855070.000000' b'14962.447692' b'62.841009' b'15025.289261' b'208935'
b'830' b'5855070.000000' b'15158.962414' b'63.758727' b'15222.721703' b'210055'
b'840' b'5855070.000000' b'15354.505890' b'64.667487' b'15419.173944' b'211214'
b'850' b'5855070.000000' b'15552.704158' b'65.611676' b'15618.316404' b'212404'
b'860' b'5855070.000000' b'15749.893665' b'66.497655' b'15816.391907' b'213529'
b'870' b'5855070.000000' b'15948.719714' b'67.393490' b'16016.113820' b'214726'
b'880' b'5855070.000000' b'16148.038837' b'68.275563' b'16216.315024' b'215822'
b'890' b'5855070.000000' b'16346.521607' b'69.272590' b'16415.794831' b'216999'
b'900' b'5855070.000000' b'16544.642577' b'70.192115' b'16614.835329' b'218094'
b'910' b'5855070.000000' b'16745.024375' b'71.083698' b'16816.108734' b'219141'
b'920' b'5855070.000000' b'16947.883598' b'71.986517' b'17019.870784' b'220245'
b'930' b'5855070.000000' b'17149.012588' b'72.880228' b'17221.893489' b'221335'
b'940' b'5855070.000000' b'17349.382847' b'73.855118' b'17423.238647' b'222418'
b'950' b'5855070.000000' b'17549.380017' b'74.762024' b'17624.142726' b'223517'
b'960' b'5855070.000000' b'17750.896618' b'75.674168' b'17826.571480' b'224634'
b'970' b'5855070.000000' b'17953.051709' b'76.557136' b'18029.609547' b'225714'
b'980' b'5855070.000000' b'18152.637575' b'77.437713' b'18230.075998' b'226748'
b'990' b'5855070.000000' b'18353.061677' b'78.336140' b'18431.398537' b'227812'
b'shortest' b'tour:' b'5855070.000000' b'time' b'18617.631617'
Run: 6
b'0' b'5892233.000000' b'11.168113' b'0.057414' b'11.225527' b'4180'
b'10' b'5889714.000000' b'164.514110' b'0.793353' b'165.307472' b'27613'
b'20' b'5887753.000000' b'328.607795' b'1.413181' b'330.020991' b'39470'
b'30' b'5884557.000000' b'491.865811' b'2.049838' b'493.915669' b'47577'
b'40' b'5882666.000000' b'656.943467' b'2.637204' b'659.580695' b'53844'
b'50' b'5879867.000000' b'826.645945' b'3.208188' b'829.854166' b'59269'
b'60' b'5879038.000000' b'993.839974' b'3.856310' b'997.696326' b'63927'
b'70' b'5876428.000000' b'1162.742219' b'4.499049' b'1167.241312' b'68201'
b'80' b'5874531.000000' b'1330.761004' b'5.151475' b'1335.912529' b'72120'
b'90' b'5871054.000000' b'1500.161360' b'5.737928' b'1505.899343' b'75856'
b'100' b'5869450.000000' b'1668.012793' b'6.345761' b'1674.358619' b'79239'
b'110' b'5869450.000000' b'1838.003456' b'7.015639' b'1845.019165' b'82630'
b'120' b'5868626.000000' b'2007.891699' b'7.616138' b'2015.507912' b'85875'
b'130' b'5867782.000000' b'2175.234254' b'8.223228' b'2183.457563' b'89011'
b'140' b'5866668.000000' b'2346.268470' b'8.871850' b'2355.140409' b'92049'
b'150' b'5864575.000000' b'2517.403296' b'9.486935' b'2526.890330' b'94848'
b'160' b'5864471.000000' b'2687.700461' b'10.155687' b'2697.856257' b'97569'
b'170' b'5861626.000000' b'2859.742091' b'10.785582' b'2870.527806' b'100201'
b'180' b'5861626.000000' b'3033.338346' b'11.451526' b'3044.790015' b'102849'
b'190' b'5861626.000000' b'3202.937295' b'12.111813' b'3215.049259' b'105389'
b'200' b'5861214.000000' b'3374.270888' b'12.759504' b'3387.030550' b'107958'
b'210' b'5860758.000000' b'3546.918714' b'13.434894' b'3560.353769' b'110395'
b'220' b'5860566.000000' b'3719.930594' b'14.082758' b'3734.013534' b'112787'
b'230' b'5859469.000000' b'3894.880374' b'14.735907' b'3909.616474' b'115224'
b'240' b'5859469.000000' b'4069.616407' b'15.408959' b'4085.025593' b'117467'
b'250' b'5859469.000000' b'4247.114284' b'16.080449' b'4263.194971' b'119702'
b'260' b'5858284.000000' b'4420.083824' b'16.761711' b'4436.845780' b'121856'
b'270' b'5858284.000000' b'4594.960189' b'17.436086' b'4612.396528' b'124011'
b'280' b'5858284.000000' b'4772.906806' b'18.117164' b'4791.024230' b'126095'
b'290' b'5858284.000000' b'4949.783643' b'18.852998' b'4968.636906' b'128216'
b'300' b'5857687.000000' b'5124.371010' b'19.596802' b'5143.968081' b'130278'
b'310' b'5857687.000000' b'5302.141905' b'20.305639' b'5322.447822' b'132282'
b'320' b'5857687.000000' b'5480.189660' b'21.017915' b'5501.207860' b'134285'
b'330' b'5857687.000000' b'5655.210237' b'21.732525' b'5676.943053' b'136267'
b'340' b'5856745.000000' b'5833.803957' b'22.472383' b'5856.276641' b'138170'
b'350' b'5856745.000000' b'6013.479022' b'23.187609' b'6036.666941' b'140175'
b'360' b'5856745.000000' b'6192.258689' b'23.927304' b'6216.186322' b'142106'
b'370' b'5856238.000000' b'6372.807502' b'24.646069' b'6397.453904' b'143934'
b'380' b'5856238.000000' b'6551.392892' b'25.368313' b'6576.761547' b'145730'
b'390' b'5856238.000000' b'6731.767040' b'26.129875' b'6757.897264' b'147546'
b'400' b'5856238.000000' b'6914.736926' b'26.871900' b'6941.609182' b'149319'
b'410' b'5856238.000000' b'7100.223934' b'27.628954' b'7127.853253' b'151092'
b'420' b'5856238.000000' b'7280.555278' b'28.378172' b'7308.933819' b'152850'
b'430' b'5856238.000000' b'7464.620133' b'29.116444' b'7493.736951' b'154563'
b'440' b'5856238.000000' b'7647.597691' b'29.867957' b'7677.466029' b'156200'
b'450' b'5856238.000000' b'7828.729134' b'30.662429' b'7859.391951' b'157856'
b'460' b'5856238.000000' b'8012.120034' b'31.425891' b'8043.546319' b'159544'
b'470' b'5856238.000000' b'8195.064104' b'32.202335' b'8227.266839' b'161228'
b'480' b'5856238.000000' b'8377.735475' b'32.950939' b'8410.686824' b'162815'
b'490' b'5856238.000000' b'8562.393262' b'33.717743' b'8596.111422' b'164401'
b'500' b'5856238.000000' b'8746.639233' b'34.472689' b'8781.112347' b'165969'
b'510' b'5856238.000000' b'8931.321810' b'35.243545' b'8966.565784' b'167544'
b'520' b'5856238.000000' b'9115.224667' b'36.014311' b'9151.239411' b'169060'
b'530' b'5856238.000000' b'9301.336220' b'36.789160' b'9338.125819' b'170601'
b'540' b'5856238.000000' b'9489.407945' b'37.650660' b'9527.059049' b'172105'
b'550' b'5856238.000000' b'9674.173162' b'38.445679' b'9712.619293' b'173594'
b'560' b'5856238.000000' b'9860.684144' b'39.263404' b'9899.948006' b'175091'
b'570' b'5856238.000000' b'10049.275849' b'40.049443' b'10089.325756' b'176565'
b'580' b'5856238.000000' b'10241.357206' b'40.841526' b'10282.199205' b'178020'
b'590' b'5856238.000000' b'10428.856016' b'41.677651' b'10470.534144' b'179425'
b'600' b'5856238.000000' b'10616.627708' b'42.460472' b'10659.088665' b'180814'
