Run: 0
b'860' b'6657320.000000' b'23991.230635' b'56.804514' b'24048.035822'
b'870' b'6657320.000000' b'24295.197861' b'57.409880' b'24352.608415'
b'880' b'6657320.000000' b'24601.979804' b'58.058177' b'24660.038656'
b'890' b'6657320.000000' b'24908.982409' b'58.731945' b'24967.715037'
b'900' b'6657320.000000' b'25217.798650' b'59.358241' b'25277.157582'
b'910' b'6657320.000000' b'25524.534772' b'59.937808' b'25584.473275'
b'920' b'6657320.000000' b'25830.810043' b'60.524879' b'25891.335620'
b'930' b'6657320.000000' b'26139.945877' b'61.220988' b'26201.167564'
b'940' b'6657320.000000' b'26450.148806' b'61.844360' b'26511.993870'
b'950' b'6657320.000000' b'26761.546075' b'62.470764' b'26824.017548'
b'960' b'6657320.000000' b'27073.921887' b'63.117615' b'27137.040219'
b'970' b'6657320.000000' b'27383.880269' b'63.804682' b'27447.685676'
b'980' b'6657320.000000' b'27694.118112' b'64.527145' b'27758.645986'
b'990' b'6657320.000000' b'28004.786503' b'65.106809' b'28069.894043'
b'shortest' b'tour:' b'6657320.000000' b'time' b'28349.457083'
Run: 1
