Run: 0
b'760' b'6659450.000000' b'5258.236907' b'52.853423' b'5311.091018'
b'770' b'6659450.000000' b'5324.442134' b'53.615858' b'5378.058686'
b'780' b'6659450.000000' b'5390.546150' b'54.255070' b'5444.801936'
b'790' b'6659450.000000' b'5456.609493' b'54.971610' b'5511.581825'
b'800' b'6659450.000000' b'5522.841239' b'55.622422' b'5578.464388'
b'810' b'6659450.000000' b'5589.158713' b'56.283340' b'5645.442786'
b'820' b'6659450.000000' b'5655.410431' b'57.024998' b'5712.436168'
b'830' b'6659450.000000' b'5721.407693' b'57.758030' b'5779.166469'
b'840' b'6659450.000000' b'5787.418084' b'58.439170' b'5845.858005'
b'850' b'6659450.000000' b'5853.219185' b'59.116662' b'5912.336606'
b'860' b'6659450.000000' b'5919.465282' b'59.889860' b'5979.355907'
b'870' b'6659450.000000' b'5985.772954' b'60.586789' b'6046.360512'
b'880' b'6659450.000000' b'6051.885095' b'61.314610' b'6113.200479'
b'890' b'6659450.000000' b'6118.165836' b'62.085494' b'6180.252112'
b'900' b'6659450.000000' b'6184.419467' b'62.821123' b'6247.241377'
b'910' b'6659450.000000' b'6250.690172' b'63.641411' b'6314.332377'
b'920' b'6659450.000000' b'6317.023405' b'64.372470' b'6381.396688'
b'930' b'6659450.000000' b'6383.013275' b'65.073440' b'6448.087534'
b'940' b'6659450.000000' b'6449.032573' b'65.928534' b'6514.961930'
b'950' b'6659450.000000' b'6514.932398' b'66.745131' b'6581.678358'
b'960' b'6659450.000000' b'6581.125042' b'67.480442' b'6648.606318'
b'970' b'6659450.000000' b'6647.131857' b'68.261157' b'6715.393852'
b'980' b'6659450.000000' b'6713.184426' b'69.048290' b'6782.233558'
b'990' b'6659450.000000' b'6779.057936' b'69.775512' b'6848.834299'
b'shortest' b'tour:' b'6659450.000000' b'time' b'6909.566301'
Run: 1
b'0' b'6704259.000000' b'9.489587' b'0.062964' b'9.552552'
b'10' b'6700431.000000' b'102.496400' b'0.944499' b'103.440911'
b'20' b'6696332.000000' b'192.770816' b'1.641364' b'194.412196'
b'30' b'6694086.000000' b'280.279583' b'2.275342' b'282.554944'
b'40' b'6688926.000000' b'364.704876' b'2.985590' b'367.690490'
b'50' b'6688926.000000' b'447.054989' b'3.699604' b'450.754627'
b'60' b'6687138.000000' b'527.173872' b'4.394527' b'531.568442'
b'70' b'6683800.000000' b'605.463888' b'5.048529' b'610.512464'
b'80' b'6682599.000000' b'681.753370' b'5.703681' b'687.457102'
b'90' b'6678653.000000' b'757.046494' b'6.291379' b'763.337929'
b'100' b'6677597.000000' b'830.904122' b'6.914341' b'837.818522'
b'110' b'6674206.000000' b'903.525607' b'7.581309' b'911.106977'
b'120' b'6674206.000000' b'975.591982' b'8.326167' b'983.918214'
