Run: 0
b'750' b'5854488.000000' b'13569.685373' b'39.550842' b'13609.236843'
b'760' b'5854488.000000' b'13764.822767' b'40.043075' b'13804.866477'
b'770' b'5854488.000000' b'13959.459841' b'40.542947' b'14000.003426'
b'780' b'5854488.000000' b'14157.074714' b'41.169215' b'14198.244573'
b'790' b'5854488.000000' b'14352.241389' b'41.678651' b'14393.920687'
b'800' b'5854488.000000' b'14547.652740' b'42.199449' b'14589.852854'
b'810' b'5854488.000000' b'14741.493813' b'42.706991' b'14784.201472'
b'820' b'5854488.000000' b'14937.156307' b'43.211324' b'14980.368305'
b'830' b'5854488.000000' b'15136.123742' b'43.716069' b'15179.840495'
b'840' b'5854488.000000' b'15333.817704' b'44.267609' b'15378.086015'
b'850' b'5854488.000000' b'15531.567139' b'44.783111' b'15576.350959'
b'860' b'5854488.000000' b'15732.041989' b'45.378756' b'15777.421458'
b'870' b'5854488.000000' b'15930.696275' b'45.962904' b'15976.659896'
b'880' b'5854488.000000' b'16127.225113' b'46.520460' b'16173.746312'
b'890' b'5854488.000000' b'16325.050227' b'47.168023' b'16372.218992'
b'900' b'5854488.000000' b'16523.252514' b'47.707448' b'16570.960743'
b'910' b'5854488.000000' b'16723.181329' b'48.308350' b'16771.490482'
b'920' b'5854488.000000' b'16923.894040' b'48.817628' b'16972.712489'
b'930' b'5854488.000000' b'17122.385330' b'49.364050' b'17171.750216'
b'940' b'5854488.000000' b'17321.158874' b'49.984957' b'17371.144671'
b'950' b'5854488.000000' b'17519.823952' b'50.554457' b'17570.379256'
b'960' b'5854488.000000' b'17720.682115' b'51.055399' b'17771.738365'
b'970' b'5854488.000000' b'17921.245960' b'51.650901' b'17972.897719'
b'980' b'5854488.000000' b'18121.556464' b'52.162778' b'18173.720106'
b'990' b'5854488.000000' b'18323.058119' b'52.740546' b'18375.799537'
b'shortest' b'tour:' b'5854488.000000' b'time' b'18558.555099'
Run: 1
b'0' b'5892046.000000' b'11.358673' b'0.046986' b'11.405659'
b'10' b'5889346.000000' b'164.974429' b'0.614209' b'165.588645'
b'20' b'5887552.000000' b'325.682300' b'1.102983' b'326.785297'
b'30' b'5883826.000000' b'492.971522' b'1.649460' b'494.621002'
b'40' b'5882405.000000' b'658.981058' b'2.287234' b'661.268331'
b'50' b'5881984.000000' b'826.820418' b'2.770546' b'829.591020'
b'60' b'5877489.000000' b'999.142858' b'3.281439' b'1002.424358'
b'70' b'5876850.000000' b'1171.386481' b'3.769191' b'1175.155739'
b'80' b'5874351.000000' b'1343.491544' b'4.270014' b'1347.761632'
b'90' b'5871407.000000' b'1514.556461' b'4.745877' b'1519.302422'
b'100' b'5870924.000000' b'1682.028633' b'5.259965' b'1687.288688'
b'110' b'5869057.000000' b'1852.127424' b'5.735639' b'1857.863157'
b'120' b'5868870.000000' b'2023.240265' b'6.315869' b'2029.556234'
b'130' b'5866474.000000' b'2191.431270' b'6.877129' b'2198.308505'
b'140' b'5865557.000000' b'2361.319273' b'7.397387' b'2368.716775'
b'150' b'5864226.000000' b'2531.385983' b'7.924134' b'2539.310237'
b'160' b'5863443.000000' b'2703.722314' b'8.502436' b'2712.224878'
b'170' b'5859974.000000' b'2876.410151' b'9.018972' b'2885.429272'
b'180' b'5859974.000000' b'3046.952150' b'9.507995' b'3056.460299'
b'190' b'5859974.000000' b'3220.201048' b'10.066591' b'3230.267798'
b'200' b'5859974.000000' b'3393.442723' b'10.555126' b'3403.998013'
b'210' b'5859974.000000' b'3566.202070' b'11.028358' b'3577.230598'
b'220' b'5859974.000000' b'3738.960667' b'11.506373' b'3750.467227'
b'230' b'5859327.000000' b'3914.544614' b'12.005222' b'3926.550058'
b'240' b'5858500.000000' b'4087.295251' b'12.500717' b'4099.796195'
b'250' b'5858500.000000' b'4262.042140' b'13.029158' b'4275.071529'
b'260' b'5858500.000000' b'4437.381324' b'13.518254' b'4450.899816'
b'270' b'5858500.000000' b'4614.998946' b'14.019863' b'4629.019053'
b'280' b'5858500.000000' b'4790.899273' b'14.518572' b'4805.418108'
b'290' b'5858500.000000' b'4969.272328' b'15.001565' b'4984.274168'
b'300' b'5858500.000000' b'5145.942072' b'15.498606' b'5161.440958'
b'310' b'5858500.000000' b'5324.136714' b'16.047775' b'5340.184775'
b'320' b'5857924.000000' b'5501.851249' b'16.535925' b'5518.387482'
b'330' b'5857569.000000' b'5677.565095' b'17.023503' b'5694.588912'
b'340' b'5857569.000000' b'5855.424385' b'17.523340' b'5872.948045'
b'350' b'5856916.000000' b'6036.192229' b'18.020430' b'6054.212981'
b'360' b'5856916.000000' b'6216.522423' b'18.533352' b'6235.056100'
b'370' b'5856757.000000' b'6396.692877' b'19.028194' b'6415.721407'
b'380' b'5856263.000000' b'6577.500874' b'19.519362' b'6597.020577'
b'390' b'5856263.000000' b'6760.087063' b'20.005472' b'6780.092886'
b'400' b'5856263.000000' b'6946.494169' b'20.509197' b'6967.003726'
b'410' b'5855037.000000' b'7127.993644' b'21.000944' b'7148.994950'
b'420' b'5855037.000000' b'7309.061988' b'21.529197' b'7330.591553'
b'430' b'5855037.000000' b'7494.141573' b'22.017168' b'7516.159116'
b'440' b'5855037.000000' b'7676.516365' b'22.505101' b'7699.021849'
b'450' b'5855037.000000' b'7858.155297' b'23.048399' b'7881.204086'
b'460' b'5855037.000000' b'8041.397989' b'23.583010' b'8064.981396'
b'470' b'5855037.000000' b'8224.133614' b'24.073416' b'8248.207431'
b'480' b'5855037.000000' b'8405.808376' b'24.567641' b'8430.376439'
b'490' b'5855037.000000' b'8588.632727' b'25.044205' b'8613.677359'
b'500' b'5855037.000000' b'8773.975151' b'25.523677' b'8799.499262'
b'510' b'5855037.000000' b'8959.451855' b'26.108092' b'8985.560390'
b'520' b'5855037.000000' b'9145.545342' b'26.690811' b'9172.236605'
b'530' b'5855037.000000' b'9331.822087' b'27.223470' b'9359.046029'
b'540' b'5855037.000000' b'9519.017808' b'27.776916' b'9546.795222'
b'550' b'5855037.000000' b'9709.466249' b'28.288729' b'9737.755482'
b'560' b'5855037.000000' b'9896.455300' b'28.781917' b'9925.237723'
b'570' b'5855037.000000' b'10082.047802' b'29.257009' b'10111.305333'
b'580' b'5855037.000000' b'10271.402469' b'29.757109' b'10301.160107'
b'590' b'5855037.000000' b'10459.712569' b'30.256527' b'10489.969635'
b'600' b'5855037.000000' b'10650.793965' b'30.758066' b'10681.552584'
b'610' b'5855037.000000' b'10840.149463' b'31.259246' b'10871.409270'
b'620' b'5855037.000000' b'11028.717472' b'31.758872' b'11060.476907'
b'630' b'5855037.000000' b'11219.614132' b'32.277632' b'11251.892348'
b'640' b'5855037.000000' b'11409.816140' b'32.764800' b'11442.581531'
b'650' b'5855037.000000' b'11600.773207' b'33.297249' b'11634.071051'
b'660' b'5855037.000000' b'11794.441111' b'33.840263' b'11828.281976'
b'670' b'5855037.000000' b'11985.102273' b'34.333233' b'12019.436116'
b'680' b'5855037.000000' b'12176.733185' b'34.824165' b'12211.557966'
b'690' b'5855037.000000' b'12367.813469' b'35.410132' b'12403.224230'
b'700' b'5855037.000000' b'12558.179517' b'35.927990' b'12594.108160'
b'710' b'5855037.000000' b'12750.499389' b'36.480466' b'12786.980519'
b'720' b'5855037.000000' b'12944.130945' b'36.998137' b'12981.129751'
b'730' b'5855037.000000' b'13135.554419' b'37.500513' b'13173.055609'
b'740' b'5855037.000000' b'13329.418136' b'38.012526' b'13367.431358'
b'750' b'5855037.000000' b'13525.766528' b'38.618523' b'13564.385756'
b'760' b'5855037.000000' b'13719.966366' b'39.113936' b'13759.081031'
b'770' b'5855037.000000' b'13912.615442' b'39.703945' b'13952.320121'
b'780' b'5855037.000000' b'14109.459105' b'40.222357' b'14149.682202'
b'790' b'5855037.000000' b'14305.084987' b'40.742874' b'14345.828607'
b'800' b'5855037.000000' b'14504.855528' b'41.246443' b'14546.102726'
b'810' b'5855037.000000' b'14701.640920' b'41.730677' b'14743.372369'
b'820' b'5855037.000000' b'14895.415552' b'42.243585' b'14937.659915'
b'830' b'5855037.000000' b'15092.018827' b'42.777370' b'15134.796980'
b'840' b'5855037.000000' b'15288.061612' b'43.282044' b'15331.344459'
b'850' b'5855037.000000' b'15484.691657' b'43.777500' b'15528.469971'
b'860' b'5855037.000000' b'15680.240775' b'44.312794' b'15724.554413'
b'870' b'5855037.000000' b'15873.853974' b'44.785858' b'15918.640683'
b'880' b'5855037.000000' b'16073.011670' b'45.284993' b'16118.297523'
b'890' b'5855037.000000' b'16268.438031' b'45.789449' b'16314.228344'
b'900' b'5855037.000000' b'16466.865103' b'46.437753' b'16513.303725'
b'910' b'5855037.000000' b'16668.007051' b'46.988761' b'16714.996706'
b'920' b'5855037.000000' b'16867.733235' b'47.490072' b'16915.224205'
b'930' b'5855037.000000' b'17068.005555' b'47.973652' b'17115.980117'
b'940' b'5855037.000000' b'17268.857638' b'48.553714' b'17317.412271'
b'950' b'5854610.000000' b'17467.397959' b'49.072232' b'17516.471118'
b'960' b'5854610.000000' b'17667.791284' b'49.563257' b'17717.355476'
b'970' b'5854610.000000' b'17870.143082' b'50.120476' b'17920.264496'
b'980' b'5854610.000000' b'18067.503025' b'50.670261' b'18118.174230'
b'990' b'5854610.000000' b'18269.484792' b'51.201726' b'18320.687470'
b'shortest' b'tour:' b'5854610.000000' b'time' b'18505.062293'
Run: 2
b'0' b'5895472.000000' b'11.190491' b'0.092164' b'11.282656'
b'10' b'5888325.000000' b'165.093633' b'0.670725' b'165.764362'
b'20' b'5887645.000000' b'327.622700' b'1.183084' b'328.805794'
b'30' b'5884309.000000' b'493.316424' b'1.672656' b'494.989097'
b'40' b'5884166.000000' b'660.956736' b'2.154807' b'663.111568'
b'50' b'5878884.000000' b'828.816183' b'2.632238' b'831.448452'
b'60' b'5878884.000000' b'998.530688' b'3.135698' b'1001.666424'
b'70' b'5877186.000000' b'1167.136227' b'3.672508' b'1170.808779'
b'80' b'5874631.000000' b'1335.744480' b'4.223337' b'1339.967867'
b'90' b'5873059.000000' b'1505.908974' b'4.848157' b'1510.757190'
b'100' b'5871610.000000' b'1675.110483' b'5.381247' b'1680.491795'
b'110' b'5868838.000000' b'1846.661605' b'5.905257' b'1852.566934'
b'120' b'5868838.000000' b'2014.720370' b'6.384320' b'2021.104770'
b'130' b'5866771.000000' b'2185.742071' b'6.929986' b'2192.672145'
b'140' b'5866633.000000' b'2357.106026' b'7.393921' b'2364.500042'
b'150' b'5864648.000000' b'2528.476839' b'7.857522' b'2536.334463'
b'160' b'5864327.000000' b'2703.199210' b'8.334413' b'2711.533741'
b'170' b'5864327.000000' b'2877.057034' b'8.820642' b'2885.877799'
b'180' b'5862498.000000' b'3052.107226' b'9.318389' b'3061.425746'
b'190' b'5860640.000000' b'3224.183628' b'9.869302' b'3234.053065'
b'200' b'5860640.000000' b'3397.750319' b'10.351844' b'3408.102315'
b'210' b'5859650.000000' b'3573.650501' b'10.857097' b'3584.507760'
b'220' b'5859576.000000' b'3749.229674' b'11.350977' b'3760.580821'
b'230' b'5859576.000000' b'3925.373973' b'11.888216' b'3937.262369'
b'240' b'5859576.000000' b'4101.383999' b'12.364095' b'4113.748278'
b'250' b'5859576.000000' b'4277.757117' b'12.846718' b'4290.604034'
b'260' b'5859110.000000' b'4452.344037' b'13.317188' b'4465.661433'
b'270' b'5859110.000000' b'4627.614156' b'13.793484' b'4641.407855'
b'280' b'5859110.000000' b'4803.735607' b'14.274436' b'4818.010266'
b'290' b'5859110.000000' b'4981.486685' b'14.777999' b'4996.264917'
b'300' b'5858733.000000' b'5160.656759' b'15.255853' b'5175.912850'
b'310' b'5858024.000000' b'5337.930685' b'15.810907' b'5353.741839'
b'320' b'5858024.000000' b'5517.431077' b'16.287751' b'5533.719080'
b'330' b'5858024.000000' b'5697.148343' b'16.755412' b'5713.904014'
b'340' b'5857075.000000' b'5876.869271' b'17.229871' b'5894.099443'
b'350' b'5857075.000000' b'6054.348742' b'17.703286' b'6072.052334'
b'360' b'5857075.000000' b'6234.985804' b'18.242808' b'6253.228921'
b'370' b'5857075.000000' b'6418.249467' b'18.730352' b'6436.980148'
b'380' b'5857075.000000' b'6598.345240' b'19.243488' b'6617.589066'
b'390' b'5857075.000000' b'6779.809836' b'19.715586' b'6799.525796'
b'400' b'5857075.000000' b'6959.951123' b'20.214567' b'6980.166072'
b'410' b'5856421.000000' b'7142.519445' b'20.723591' b'7163.243433'
b'420' b'5856421.000000' b'7327.280352' b'21.218833' b'7348.499588'
b'430' b'5856421.000000' b'7511.734221' b'21.694214' b'7533.428849'
b'440' b'5856421.000000' b'7697.171889' b'22.161463' b'7719.333770'
b'450' b'5856421.000000' b'7881.687889' b'22.663091' b'7904.351404'
b'460' b'5854999.000000' b'8064.831334' b'23.129889' b'8087.961655'
