Run: 0
b'750' b'5855708.000000' b'13490.383143' b'55.877657' b'13546.261483'
b'760' b'5855708.000000' b'13686.057030' b'56.728491' b'13742.786221'
b'770' b'5855708.000000' b'13879.611751' b'57.552079' b'13937.164536'
b'780' b'5855708.000000' b'14072.379970' b'58.415616' b'14130.796298'
b'790' b'5855708.000000' b'14265.326700' b'59.258481' b'14324.585898'
b'800' b'5855708.000000' b'14459.490899' b'60.128234' b'14519.619854'
b'810' b'5855708.000000' b'14655.046768' b'61.000538' b'14716.048030'
b'820' b'5855708.000000' b'14850.122782' b'61.864469' b'14911.987986'
b'830' b'5855708.000000' b'15045.311218' b'62.718296' b'15108.030254'
b'840' b'5855708.000000' b'15240.257684' b'63.610461' b'15303.868890'
b'850' b'5855708.000000' b'15435.217640' b'64.466765' b'15499.685157'
b'860' b'5855708.000000' b'15631.354043' b'65.329510' b'15696.684312'
b'870' b'5855708.000000' b'15829.416219' b'66.189309' b'15895.606291'
b'880' b'5855708.000000' b'16029.811521' b'67.103134' b'16096.915424'
b'890' b'5855708.000000' b'16228.359137' b'68.001497' b'16296.361409'
b'900' b'5855708.000000' b'16427.742218' b'68.871516' b'16496.614515'
b'910' b'5855708.000000' b'16624.558153' b'69.821487' b'16694.380425'
b'920' b'5855708.000000' b'16822.684421' b'70.702462' b'16893.387673'
b'930' b'5855708.000000' b'17022.114643' b'71.632810' b'17093.748250'
b'940' b'5855329.000000' b'17221.692164' b'72.530703' b'17294.223667'
b'950' b'5855329.000000' b'17425.392237' b'73.585995' b'17498.979036'
b'960' b'5855329.000000' b'17624.160118' b'74.455019' b'17698.615947'
b'970' b'5855329.000000' b'17824.892061' b'75.383077' b'17900.275960'
b'980' b'5855313.000000' b'18022.475716' b'76.259467' b'18098.736017'
b'990' b'5855313.000000' b'18223.516013' b'77.249636' b'18300.766487'
b'shortest' b'tour:' b'5855313.000000' b'time' b'18481.259734'
Run: 1
b'0' b'5894864.000000' b'10.903764' b'0.058477' b'10.962241'
b'10' b'5889915.000000' b'162.303381' b'0.747713' b'163.051099'
b'20' b'5887422.000000' b'326.194439' b'1.410712' b'327.605161'
b'30' b'5884784.000000' b'493.697068' b'2.006575' b'495.703660'
b'40' b'5882661.000000' b'660.556670' b'2.606769' b'663.163460'
b'50' b'5879623.000000' b'828.922448' b'3.224104' b'832.146579'
b'60' b'5877990.000000' b'996.225824' b'3.814764' b'1000.040621'
b'70' b'5874506.000000' b'1165.239154' b'4.472358' b'1169.711555'
b'80' b'5872096.000000' b'1335.581428' b'5.071205' b'1340.652679'
b'90' b'5872096.000000' b'1503.945474' b'5.703341' b'1509.648869'
b'100' b'5870274.000000' b'1675.242755' b'6.360337' b'1681.603151'
b'110' b'5868307.000000' b'1844.754184' b'7.061241' b'1851.815505'
b'120' b'5867833.000000' b'2015.651874' b'7.788330' b'2023.440288'
b'130' b'5867452.000000' b'2185.906213' b'8.472584' b'2194.378886'
b'140' b'5865923.000000' b'2357.631536' b'9.124154' b'2366.755783'
b'150' b'5863764.000000' b'2528.190522' b'9.825261' b'2538.015880'
b'160' b'5862561.000000' b'2698.605476' b'10.484071' b'2709.089650'
b'170' b'5862561.000000' b'2870.350186' b'11.220102' b'2881.570398'
b'180' b'5861519.000000' b'3042.206875' b'11.876980' b'3054.083971'
b'190' b'5861519.000000' b'3216.271959' b'12.591598' b'3228.863693'
b'200' b'5860290.000000' b'3388.710713' b'13.318598' b'3402.029461'
b'210' b'5860290.000000' b'3561.406718' b'14.169762' b'3575.576638'
b'220' b'5860290.000000' b'3733.671577' b'14.883157' b'3748.554897'
b'230' b'5859771.000000' b'3908.876375' b'15.696243' b'3924.572787'
b'240' b'5859730.000000' b'4083.497351' b'16.521405' b'4100.018943'
b'250' b'5859728.000000' b'4260.106969' b'17.275723' b'4277.382886'
b'260' b'5859728.000000' b'4438.134706' b'18.066156' b'4456.201063'
b'270' b'5859728.000000' b'4615.807527' b'18.978280' b'4634.786016'
b'280' b'5859106.000000' b'4792.889651' b'19.727536' b'4812.617403'
b'290' b'5857298.000000' b'4970.954208' b'20.444162' b'4991.398593'
b'300' b'5857298.000000' b'5147.178838' b'21.165841' b'5168.344910'
b'310' b'5857298.000000' b'5324.825273' b'21.890861' b'5346.716371'
b'320' b'5857298.000000' b'5502.160366' b'22.662707' b'5524.823313'
b'330' b'5857298.000000' b'5681.948785' b'23.493858' b'5705.442890'
b'340' b'5857298.000000' b'5861.147721' b'24.233048' b'5885.381024'
b'350' b'5857298.000000' b'6044.266216' b'24.985821' b'6069.252295'
b'360' b'5857298.000000' b'6223.248906' b'25.734432' b'6248.983600'
b'370' b'5856068.000000' b'6403.384962' b'26.488101' b'6429.873332'
b'380' b'5856068.000000' b'6585.551800' b'27.250636' b'6612.802709'
b'390' b'5856068.000000' b'6765.215022' b'28.005591' b'6793.220892'
b'400' b'5856068.000000' b'6944.609647' b'28.749884' b'6973.359815'
b'410' b'5856068.000000' b'7127.049776' b'29.482858' b'7156.532928'
b'420' b'5856068.000000' b'7310.768651' b'30.250159' b'7341.019111'
b'430' b'5855764.000000' b'7497.409868' b'31.070161' b'7528.480335'
b'440' b'5855764.000000' b'7682.473837' b'31.835948' b'7714.310096'
b'450' b'5855764.000000' b'7865.593273' b'32.728400' b'7898.321987'
b'460' b'5855764.000000' b'8051.232233' b'33.585720' b'8084.818274'
b'470' b'5855764.000000' b'8236.964390' b'34.407905' b'8271.372623'
b'480' b'5855764.000000' b'8423.474776' b'35.198014' b'8458.673122'
b'490' b'5855764.000000' b'8610.914098' b'35.987887' b'8646.902323'
b'500' b'5855764.000000' b'8797.386882' b'36.773878' b'8834.161104'
b'510' b'5855764.000000' b'8984.074045' b'37.563560' b'9021.637957'
b'520' b'5855764.000000' b'9170.570219' b'38.403138' b'9208.973712'
b'530' b'5855764.000000' b'9357.808111' b'39.202904' b'9397.011380'
b'540' b'5855764.000000' b'9543.761966' b'39.980441' b'9583.742776'
b'550' b'5855764.000000' b'9734.553072' b'40.784179' b'9775.337628'
b'560' b'5855764.000000' b'9924.431421' b'41.604801' b'9966.036602'
b'570' b'5855764.000000' b'10112.764781' b'42.424950' b'10155.190115'
b'580' b'5855764.000000' b'10299.822901' b'43.227598' b'10343.050889'
b'590' b'5855764.000000' b'10488.861313' b'44.040451' b'10532.902157'
b'600' b'5855764.000000' b'10677.820636' b'44.834429' b'10722.655466'
b'610' b'5855764.000000' b'10866.200849' b'45.746447' b'10911.947701'
b'620' b'5855764.000000' b'11055.874979' b'46.549848' b'11102.425236'
b'630' b'5855764.000000' b'11247.245404' b'47.390374' b'11294.636193'
