Run: 0
b'750' b'8338885.000000' b'16271.615347' b'128.949951' b'16400.565738'
b'760' b'8338885.000000' b'16483.573003' b'130.240597' b'16613.814048'
b'770' b'8338885.000000' b'16692.299265' b'132.050187' b'16824.349906'
b'780' b'8338885.000000' b'16899.668992' b'133.903847' b'17033.573296'
b'790' b'8338885.000000' b'17104.693060' b'135.842699' b'17240.536219'
b'800' b'8338885.000000' b'17308.329218' b'137.757120' b'17446.086799'
b'810' b'8338885.000000' b'17512.330299' b'139.425013' b'17651.755777'
b'820' b'8338885.000000' b'17721.720956' b'141.199245' b'17862.920687'
b'830' b'8338885.000000' b'17924.034740' b'142.943207' b'18066.978453'
b'840' b'8338885.000000' b'18129.139413' b'144.717679' b'18273.857600'
b'850' b'8338885.000000' b'18331.211095' b'146.843010' b'18478.054617'
b'860' b'8338885.000000' b'18534.685137' b'148.604645' b'18683.290298'
b'870' b'8338885.000000' b'18741.056985' b'150.009380' b'18891.066885'
b'880' b'8338885.000000' b'18945.563058' b'151.681667' b'19097.245249'
b'890' b'8338885.000000' b'19161.097731' b'152.978021' b'19314.076298'
b'900' b'8338885.000000' b'19379.829243' b'154.159839' b'19533.989634'
b'910' b'8338885.000000' b'19586.643906' b'155.861294' b'19742.505758'
b'920' b'8338885.000000' b'19799.420314' b'157.501084' b'19956.921962'
b'930' b'8338885.000000' b'20009.076533' b'158.904920' b'20167.982038'
b'940' b'8338885.000000' b'20209.807523' b'160.638423' b'20370.446548'
b'950' b'8338885.000000' b'20414.357827' b'162.304991' b'20576.663421'
b'960' b'8338885.000000' b'20622.062807' b'163.804319' b'20785.867734'
b'970' b'8338885.000000' b'20828.593544' b'165.445621' b'20994.039779'
b'980' b'8338885.000000' b'21032.084759' b'167.043393' b'21199.128770'
b'990' b'8338885.000000' b'21236.746017' b'168.620746' b'21405.367383'
b'shortest' b'tour:' b'8338885.000000' b'time' b'21590.015852'
Run: 1
b'0' b'8401951.000000' b'30.410863' b'0.113486' b'30.524349'
b'10' b'8397023.000000' b'344.863726' b'2.143316' b'347.007047'
b'20' b'8395146.000000' b'642.962924' b'4.497850' b'647.460783'
b'30' b'8388123.000000' b'915.762709' b'7.032606' b'922.795327'
b'40' b'8386389.000000' b'1184.286625' b'9.107544' b'1193.394182'
b'50' b'8380675.000000' b'1440.052102' b'11.559739' b'1451.611857'
b'60' b'8378617.000000' b'1697.675904' b'13.332393' b'1711.008315'
b'70' b'8374018.000000' b'1945.623158' b'15.389971' b'1961.013151'
b'80' b'8373613.000000' b'2202.927929' b'16.634392' b'2219.562348'
b'90' b'8364696.000000' b'2441.401544' b'18.770165' b'2460.171739'
b'100' b'8364696.000000' b'2667.271685' b'20.811854' b'2688.083574'
b'110' b'8358756.000000' b'2902.970709' b'22.438713' b'2925.409463'
b'120' b'8358756.000000' b'3130.546565' b'24.187799' b'3154.734423'
b'130' b'8358756.000000' b'3346.197883' b'25.848749' b'3372.046694'
b'140' b'8357784.000000' b'3560.066131' b'27.619869' b'3587.686098'
b'150' b'8355158.000000' b'3774.735185' b'29.416694' b'3804.151983'
b'160' b'8353592.000000' b'3989.200943' b'31.039177' b'4020.240227'
b'170' b'8351955.000000' b'4210.115736' b'32.432746' b'4242.548594'
b'180' b'8351498.000000' b'4418.887188' b'34.340918' b'4453.228224'
b'190' b'8351498.000000' b'4625.993475' b'36.217525' b'4662.211119'
b'200' b'8351329.000000' b'4839.964531' b'37.999482' b'4877.964134'
b'210' b'8343192.000000' b'5050.936508' b'39.941432' b'5090.878064'
b'220' b'8343192.000000' b'5267.044135' b'41.967328' b'5309.011590'
b'230' b'8343192.000000' b'5478.910774' b'43.425906' b'5522.336810'
b'240' b'8343192.000000' b'5690.197968' b'45.293996' b'5735.492101'
b'250' b'8343192.000000' b'5902.709453' b'47.116258' b'5949.825852'
b'260' b'8343192.000000' b'6116.020617' b'48.328042' b'6164.348804'
b'270' b'8343192.000000' b'6327.671232' b'49.790312' b'6377.461691'
b'280' b'8343192.000000' b'6538.697875' b'51.256223' b'6589.954265'
b'290' b'8343192.000000' b'6750.103786' b'53.046444' b'6803.150398'
b'300' b'8343192.000000' b'6963.019741' b'54.754962' b'7017.774887'
b'310' b'8343192.000000' b'7175.924846' b'56.319554' b'7232.244587'
b'320' b'8343192.000000' b'7387.332920' b'58.182918' b'7445.516029'
b'330' b'8343192.000000' b'7598.073317' b'59.951115' b'7658.024627'
b'340' b'8343192.000000' b'7807.448176' b'61.883267' b'7869.331643'
b'350' b'8342047.000000' b'8017.166226' b'63.403833' b'8080.570260'
b'360' b'8342047.000000' b'8229.172295' b'64.854506' b'8294.027006'
b'370' b'8342047.000000' b'8436.653536' b'66.560762' b'8503.214505'
b'380' b'8342047.000000' b'8639.078543' b'68.367728' b'8707.446485'
b'390' b'8342047.000000' b'8840.558666' b'70.235687' b'8910.794571'
b'400' b'8342047.000000' b'9050.505015' b'71.652009' b'9122.157248'
b'410' b'8342047.000000' b'9250.856524' b'73.277854' b'9324.134605'
b'420' b'8342047.000000' b'9458.571213' b'74.786763' b'9533.358206'
b'430' b'8342047.000000' b'9657.824051' b'76.595451' b'9734.419734'
b'440' b'8341194.000000' b'9857.184589' b'78.463191' b'9935.648013'
b'450' b'8341194.000000' b'10064.131625' b'80.279035' b'10144.410896'
b'460' b'8341194.000000' b'10270.370087' b'82.108153' b'10352.478477'
b'470' b'8341194.000000' b'10471.782436' b'83.685115' b'10555.467790'
b'480' b'8341194.000000' b'10677.244861' b'85.387674' b'10762.632776'
b'490' b'8341194.000000' b'10885.723661' b'87.187665' b'10972.911586'
b'500' b'8341194.000000' b'11093.401062' b'89.098186' b'11182.499510'
b'510' b'8341194.000000' b'11305.566451' b'90.540804' b'11396.107519'
b'520' b'8341194.000000' b'11516.681527' b'92.259422' b'11608.941219'
b'530' b'8341194.000000' b'11722.175341' b'94.028365' b'11816.203979'
b'540' b'8341194.000000' b'11923.875510' b'95.736897' b'12019.612682'
b'550' b'8341194.000000' b'12131.246946' b'97.484200' b'12228.731424'
b'560' b'8341194.000000' b'12340.229407' b'99.162773' b'12439.392461'
b'570' b'8341194.000000' b'12548.037624' b'100.836660' b'12648.874566'
b'580' b'8341194.000000' b'12757.369461' b'102.603715' b'12859.973473'
b'590' b'8341194.000000' b'12964.009312' b'104.116953' b'13068.126567'
b'600' b'8341194.000000' b'13169.686721' b'105.821793' b'13275.508818'
b'610' b'8341194.000000' b'13373.595843' b'107.390874' b'13480.987022'
