Run: 0
b'760' b'5855107.000000' b'3721.443262' b'42.859450' b'3764.303326'
b'770' b'5855107.000000' b'3768.420872' b'43.381334' b'3811.802826'
b'780' b'5855107.000000' b'3815.430066' b'43.980109' b'3859.410799'
b'790' b'5855107.000000' b'3862.423865' b'44.662266' b'3907.086760'
b'800' b'5855107.000000' b'3909.462808' b'45.217466' b'3954.680912'
b'810' b'5855107.000000' b'3956.399881' b'45.786153' b'4002.186676'
b'820' b'5855107.000000' b'4003.406751' b'46.345759' b'4049.753173'
b'830' b'5855107.000000' b'4050.372889' b'46.867007' b'4097.240566'
b'840' b'5855107.000000' b'4097.235657' b'47.414818' b'4144.651151'
b'850' b'5855107.000000' b'4144.203574' b'47.994148' b'4192.198403'
b'860' b'5855107.000000' b'4191.238543' b'48.606311' b'4239.845541'
b'870' b'5855107.000000' b'4238.084351' b'49.157955' b'4287.242999'
b'880' b'5855107.000000' b'4285.157933' b'49.708411' b'4334.867041'
b'890' b'5855107.000000' b'4332.050703' b'50.258504' b'4382.309906'
b'900' b'5855107.000000' b'4379.019928' b'50.806940' b'4429.827573'
b'910' b'5855107.000000' b'4426.020631' b'51.355022' b'4477.376365'
b'920' b'5855107.000000' b'4472.806645' b'51.903149' b'4524.710512'
b'930' b'5855107.000000' b'4519.902996' b'52.452195' b'4572.355917'
b'940' b'5855107.000000' b'4566.838113' b'52.998262' b'4619.837104'
b'950' b'5855107.000000' b'4613.823446' b'53.534181' b'4667.358362'
b'960' b'5855107.000000' b'4660.750466' b'54.150222' b'4714.901428'
b'970' b'5855107.000000' b'4707.680361' b'54.773401' b'4762.454507'
b'980' b'5855107.000000' b'4754.505877' b'55.427921' b'4809.934563'
b'990' b'5855107.000000' b'4801.420531' b'56.003419' b'4857.424720'
b'shortest' b'tour:' b'5855107.000000' b'time' b'4900.431246'
Run: 1
b'0' b'5893895.000000' b'6.677857' b'0.053772' b'6.731630'
b'10' b'5889669.000000' b'72.301164' b'0.650519' b'72.951708'
b'20' b'5888489.000000' b'135.775277' b'1.176020' b'136.951323'
b'30' b'5885093.000000' b'197.196364' b'1.812058' b'199.008452'
b'40' b'5882588.000000' b'256.856484' b'2.416376' b'259.272894'
b'50' b'5880873.000000' b'314.940169' b'3.053545' b'317.993751'
b'60' b'5879902.000000' b'371.437895' b'3.618610' b'375.056549'
b'70' b'5875936.000000' b'426.620271' b'4.158273' b'430.778591'
b'80' b'5873507.000000' b'480.687844' b'4.660624' b'485.348517'
b'90' b'5873262.000000' b'533.811972' b'5.284433' b'539.096465'
b'100' b'5871070.000000' b'586.031039' b'5.810764' b'591.841865'
b'110' b'5869302.000000' b'637.541990' b'6.373514' b'643.915569'
b'120' b'5865440.000000' b'688.463120' b'7.044155' b'695.507390'
b'130' b'5865440.000000' b'738.690198' b'7.533643' b'746.223960'
b'140' b'5865149.000000' b'788.514373' b'8.093335' b'796.607833'
b'150' b'5864276.000000' b'837.974738' b'8.614076' b'846.588945'
b'160' b'5864276.000000' b'887.010337' b'9.144027' b'896.154499'
b'170' b'5863008.000000' b'935.782254' b'9.652675' b'945.435067'
b'180' b'5861098.000000' b'984.328836' b'10.157813' b'994.486793'
b'190' b'5861098.000000' b'1032.717490' b'10.715191' b'1043.432829'
b'200' b'5859974.000000' b'1080.892594' b'11.361721' b'1092.254467'
b'210' b'5859974.000000' b'1128.673340' b'11.930607' b'1140.604104'
b'220' b'5859974.000000' b'1176.570846' b'12.493495' b'1189.064501'
b'230' b'5858510.000000' b'1224.312105' b'13.023888' b'1237.336157'
b'240' b'5858510.000000' b'1272.053047' b'13.583341' b'1285.636569'
b'250' b'5858510.000000' b'1319.422796' b'14.075304' b'1333.498285'
b'260' b'5858510.000000' b'1366.948767' b'14.654188' b'1381.603146'
b'270' b'5857922.000000' b'1414.227911' b'15.191758' b'1429.419864'
b'280' b'5857807.000000' b'1461.615886' b'15.768389' b'1477.384471'
b'290' b'5857807.000000' b'1508.876455' b'16.334898' b'1525.211553'
b'300' b'5857807.000000' b'1556.177098' b'16.892286' b'1573.069588'
b'310' b'5857807.000000' b'1603.346911' b'17.506427' b'1620.853545'
b'320' b'5855706.000000' b'1650.603188' b'18.042336' b'1668.645734'
b'330' b'5855706.000000' b'1697.722579' b'18.616109' b'1716.338901'
b'340' b'5855630.000000' b'1744.819266' b'19.139815' b'1763.959296'
b'350' b'5855630.000000' b'1791.950996' b'19.692164' b'1811.643381'
b'360' b'5855630.000000' b'1838.895688' b'20.302970' b'1859.198885'
b'370' b'5855630.000000' b'1885.792526' b'20.890812' b'1906.683571'
b'380' b'5855630.000000' b'1932.805225' b'21.539629' b'1954.345091'
b'390' b'5855630.000000' b'1979.774559' b'22.142426' b'2001.917230'
b'400' b'5855630.000000' b'2026.800696' b'22.661554' b'2049.462499'
b'410' b'5855630.000000' b'2073.818502' b'23.201962' b'2097.020716'
b'420' b'5855630.000000' b'2120.830184' b'23.729835' b'2144.560273'
b'430' b'5855630.000000' b'2167.954472' b'24.271254' b'2192.225982'
b'440' b'5855630.000000' b'2215.004176' b'24.778725' b'2239.783166'
b'450' b'5855630.000000' b'2262.047695' b'25.373660' b'2287.421621'
b'460' b'5855630.000000' b'2309.094633' b'25.881591' b'2334.976514'
b'470' b'5855630.000000' b'2356.201607' b'26.431441' b'2382.633342'
b'480' b'5855630.000000' b'2403.069266' b'27.033062' b'2430.102628'
b'490' b'5855630.000000' b'2449.782190' b'27.603089' b'2477.385582'
b'500' b'5855630.000000' b'2496.582787' b'28.128767' b'2524.711863'
b'510' b'5855630.000000' b'2543.544633' b'28.774472' b'2572.319431'
b'520' b'5855630.000000' b'2590.714308' b'29.415904' b'2620.130543'
b'530' b'5855630.000000' b'2637.713148' b'29.983912' b'2667.697394'
b'540' b'5855630.000000' b'2684.523561' b'30.742400' b'2715.266299'
b'550' b'5855630.000000' b'2731.513253' b'31.176418' b'2762.690014'
b'560' b'5855630.000000' b'2778.453953' b'31.745200' b'2810.199502'
b'570' b'5855630.000000' b'2825.412909' b'32.246706' b'2857.659966'
b'580' b'5855630.000000' b'2872.310293' b'32.732285' b'2905.042932'
b'590' b'5855630.000000' b'2918.937215' b'33.344783' b'2952.282353'
b'600' b'5855630.000000' b'2965.945717' b'33.881251' b'2999.827330'
b'610' b'5855630.000000' b'3012.873637' b'34.431933' b'3047.305936'
b'620' b'5855630.000000' b'3059.684118' b'35.029756' b'3094.714241'
b'630' b'5855630.000000' b'3106.526412' b'35.663921' b'3142.190706'
b'640' b'5855630.000000' b'3153.351435' b'36.290343' b'3189.642155'
b'650' b'5855630.000000' b'3200.461904' b'36.846169' b'3237.308456'
b'660' b'5855630.000000' b'3247.562238' b'37.404802' b'3284.967426'
b'670' b'5855630.000000' b'3294.413056' b'37.976594' b'3332.390040'
b'680' b'5855630.000000' b'3341.237453' b'38.533950' b'3379.771795'
b'690' b'5855630.000000' b'3388.160164' b'39.095958' b'3427.256522'
b'700' b'5855630.000000' b'3434.909487' b'39.730053' b'3474.639944'
b'710' b'5855624.000000' b'3481.678752' b'40.316078' b'3521.995239'
b'720' b'5855624.000000' b'3528.667110' b'40.834867' b'3569.502389'
b'730' b'5855624.000000' b'3575.718211' b'41.355903' b'3617.074530'
b'740' b'5855624.000000' b'3622.548240' b'41.851234' b'3664.399897'
b'750' b'5855624.000000' b'3669.527297' b'42.320534' b'3711.848258'
b'760' b'5855624.000000' b'3716.477726' b'42.821310' b'3759.299468'
b'770' b'5855624.000000' b'3763.461113' b'43.341607' b'3806.803158'
b'780' b'5855624.000000' b'3810.187086' b'43.950502' b'3854.138030'
b'790' b'5855624.000000' b'3857.193468' b'44.469279' b'3901.663192'
b'800' b'5855624.000000' b'3903.994684' b'45.002362' b'3948.997493'
b'810' b'5855624.000000' b'3950.839211' b'45.605127' b'3996.444794'
b'820' b'5855624.000000' b'3997.731011' b'46.170022' b'4043.901492'
b'830' b'5855624.000000' b'4044.528039' b'46.728536' b'4091.257043'
b'840' b'5855624.000000' b'4091.387329' b'47.314673' b'4138.702471'
b'850' b'5855083.000000' b'4138.149013' b'47.957548' b'4186.107035'
b'860' b'5855083.000000' b'4184.994792' b'48.560465' b'4233.555737'
b'870' b'5855083.000000' b'4231.832737' b'49.130441' b'4280.963665'
b'880' b'5855083.000000' b'4278.555817' b'49.721980' b'4328.278291'
b'890' b'5855083.000000' b'4325.418700' b'50.329702' b'4375.748901'
b'900' b'5855083.000000' b'4372.209230' b'50.912546' b'4423.122277'
b'910' b'5855083.000000' b'4418.913471' b'51.453112' b'4470.367089'
b'920' b'5855083.000000' b'4465.674020' b'51.987019' b'4517.661550'
b'930' b'5855083.000000' b'4512.539552' b'52.590349' b'4565.130417'
b'940' b'5855083.000000' b'4559.505434' b'53.128597' b'4612.634551'
b'950' b'5855083.000000' b'4606.120030' b'53.626468' b'4659.747022'
b'960' b'5855083.000000' b'4653.040616' b'54.188564' b'4707.229710'
b'970' b'5855083.000000' b'4699.833438' b'54.725305' b'4754.559279'
b'980' b'5855083.000000' b'4746.791426' b'55.234631' b'4802.026599'
b'990' b'5855083.000000' b'4793.629754' b'55.789144' b'4849.419446'
b'shortest' b'tour:' b'5855083.000000' b'time' b'4892.405252'
Run: 2
b'0' b'5896190.000000' b'6.718637' b'0.211331' b'6.929968'
