Run: 0
b'0' b'5893053.000000' b'11.277504' b'0.057351' b'11.334855'
b'10' b'5890867.000000' b'163.644459' b'0.665739' b'164.310204'
b'20' b'5887065.000000' b'325.793918' b'1.282333' b'327.076259'
b'30' b'5884314.000000' b'493.991344' b'1.889573' b'495.880930'
b'40' b'5883046.000000' b'662.832518' b'2.461803' b'665.294352'
b'50' b'5880128.000000' b'830.923753' b'3.062817' b'833.986608'
b'60' b'5877795.000000' b'1001.154175' b'3.726071' b'1004.880286'
b'70' b'5876010.000000' b'1169.884189' b'4.307889' b'1174.192120'
b'80' b'5874429.000000' b'1337.972803' b'4.975757' b'1342.948603'
b'90' b'5872648.000000' b'1508.728058' b'5.577555' b'1514.305659'
b'100' b'5869536.000000' b'1680.068034' b'6.191094' b'1686.259181'
b'110' b'5869166.000000' b'1851.282120' b'6.807627' b'1858.089804'
b'120' b'5868197.000000' b'2022.239118' b'7.492093' b'2029.731271'
b'130' b'5866751.000000' b'2191.945898' b'8.157969' b'2200.103930'
b'140' b'5865752.000000' b'2364.880042' b'8.777698' b'2373.657819'
b'150' b'5864217.000000' b'2534.497969' b'9.452728' b'2543.950798'
b'160' b'5863972.000000' b'2705.529446' b'10.098056' b'2715.627611'
b'170' b'5863972.000000' b'2874.730497' b'10.801416' b'2885.532028'
b'180' b'5863617.000000' b'3047.107018' b'11.446305' b'3058.553458'
b'190' b'5862113.000000' b'3219.999752' b'12.089220' b'3232.089111'
b'200' b'5862113.000000' b'3393.707205' b'12.757807' b'3406.465155'
b'210' b'5860063.000000' b'3567.364699' b'13.406024' b'3580.770887'
b'220' b'5860063.000000' b'3741.657728' b'14.065910' b'3755.723807'
b'230' b'5857865.000000' b'3917.956243' b'14.741606' b'3932.698024'
b'240' b'5857865.000000' b'4093.816039' b'15.420535' b'4109.236758'
b'250' b'5857865.000000' b'4269.755061' b'16.094782' b'4285.850047'
b'260' b'5857865.000000' b'4447.059336' b'16.763723' b'4463.823268'
b'270' b'5857865.000000' b'4625.322900' b'17.443926' b'4642.767053'
b'280' b'5857865.000000' b'4799.573952' b'18.126788' b'4817.700970'
b'290' b'5857865.000000' b'4976.701092' b'18.814792' b'4995.516118'
b'300' b'5855675.000000' b'5153.087136' b'19.510124' b'5172.597498'
b'310' b'5855675.000000' b'5330.850791' b'20.211512' b'5351.062560'
b'320' b'5855675.000000' b'5509.788630' b'20.927984' b'5530.716878'
b'330' b'5855675.000000' b'5688.215107' b'21.630806' b'5709.846180'
b'340' b'5855675.000000' b'5869.576243' b'22.342397' b'5891.918908'
b'350' b'5855675.000000' b'6048.962396' b'23.085368' b'6072.048036'
b'360' b'5855675.000000' b'6228.697638' b'23.785328' b'6252.483244'
b'370' b'5855675.000000' b'6409.734966' b'24.499211' b'6434.234474'
b'380' b'5855675.000000' b'6589.466521' b'25.231447' b'6614.698271'
b'390' b'5855675.000000' b'6770.623446' b'25.980109' b'6796.603861'
b'400' b'5855675.000000' b'6951.521795' b'26.708286' b'6978.230393'
b'410' b'5855675.000000' b'7133.636928' b'27.426721' b'7161.063965'
b'420' b'5855675.000000' b'7316.781182' b'28.132197' b'7344.913704'
b'430' b'5855675.000000' b'7503.033606' b'28.880750' b'7531.914690'
b'440' b'5854279.000000' b'7688.670443' b'29.611777' b'7718.282569'
b'450' b'5854279.000000' b'7872.598001' b'30.362783' b'7902.961138'
b'460' b'5854279.000000' b'8057.196049' b'31.112340' b'8088.308747'
b'470' b'5854279.000000' b'8243.902809' b'31.911447' b'8275.814620'
b'480' b'5854279.000000' b'8427.547923' b'32.655238' b'8460.203531'
b'490' b'5854279.000000' b'8612.447068' b'33.433973' b'8645.881427'
b'500' b'5854279.000000' b'8798.777817' b'34.308283' b'8833.086505'
b'510' b'5854279.000000' b'8985.211201' b'35.111062' b'9020.322673'
b'520' b'5854279.000000' b'9170.758751' b'35.875563' b'9206.634727'
b'530' b'5854279.000000' b'9357.093499' b'36.646258' b'9393.740171'
b'540' b'5854279.000000' b'9545.007769' b'37.421813' b'9582.430000'
b'550' b'5854279.000000' b'9736.418805' b'38.207409' b'9774.626650'
b'560' b'5854279.000000' b'9923.648643' b'38.985223' b'9962.634316'
b'570' b'5854279.000000' b'10111.079993' b'39.814685' b'10150.895131'
b'580' b'5854279.000000' b'10301.483067' b'40.646896' b'10342.130450'
b'590' b'5854279.000000' b'10491.428721' b'41.478409' b'10532.907623'
b'600' b'5854279.000000' b'10682.648750' b'42.345658' b'10724.994907'
b'610' b'5854279.000000' b'10874.397031' b'43.135431' b'10917.532968'
b'620' b'5854279.000000' b'11064.863834' b'43.929613' b'11108.793958'
b'630' b'5854279.000000' b'11257.138194' b'44.757122' b'11301.895833'
b'640' b'5854279.000000' b'11447.415916' b'45.551003' b'11492.967442'
b'650' b'5854279.000000' b'11640.001896' b'46.362533' b'11686.364956'
b'660' b'5854279.000000' b'11832.429947' b'47.191179' b'11879.621662'
b'670' b'5854279.000000' b'12025.807213' b'48.079275' b'12073.887028'
b'680' b'5854279.000000' b'12218.803649' b'48.993829' b'12267.798026'
b'690' b'5854279.000000' b'12412.044488' b'49.950348' b'12461.995386'
b'700' b'5854279.000000' b'12603.145965' b'50.830576' b'12653.977104'
b'710' b'5854279.000000' b'12796.171942' b'51.694806' b'12847.867316'
b'720' b'5854279.000000' b'12991.617655' b'52.564231' b'13044.182458'
b'730' b'5854279.000000' b'13185.646936' b'53.442892' b'13239.090406'
b'740' b'5854279.000000' b'13380.211560' b'54.283877' b'13434.496019'
b'750' b'5854279.000000' b'13574.809255' b'55.183217' b'13629.993058'
b'760' b'5854279.000000' b'13770.027310' b'56.036319' b'13826.064220'
b'770' b'5854279.000000' b'13963.884589' b'56.925041' b'14020.810227'
b'780' b'5854279.000000' b'14159.077424' b'57.772245' b'14216.850269'
b'790' b'5854279.000000' b'14355.748265' b'58.619298' b'14414.368168'
b'800' b'5854279.000000' b'14552.032814' b'59.463245' b'14611.496667'
b'810' b'5854279.000000' b'14746.296160' b'60.314965' b'14806.611739'
b'820' b'5854279.000000' b'14942.067844' b'61.161995' b'15003.230456'
b'830' b'5854279.000000' b'15140.255785' b'61.993286' b'15202.249692'
b'840' b'5854279.000000' b'15335.202969' b'62.868426' b'15398.072022'
b'850' b'5854279.000000' b'15531.687583' b'63.741261' b'15595.429476'
b'860' b'5854279.000000' b'15730.409059' b'64.611395' b'15795.021107'
b'870' b'5854279.000000' b'15928.829046' b'65.537832' b'15994.367539'
b'880' b'5854279.000000' b'16128.293363' b'66.389039' b'16194.683082'
b'890' b'5854279.000000' b'16326.229680' b'67.224045' b'16393.454407'
b'900' b'5854279.000000' b'16526.487592' b'68.046267' b'16594.534547'
b'910' b'5854279.000000' b'16727.890335' b'68.910531' b'16796.801558'
b'920' b'5854279.000000' b'16928.296337' b'69.742919' b'16998.039953'
b'930' b'5854279.000000' b'17126.519861' b'70.584657' b'17197.105237'
b'940' b'5854279.000000' b'17326.828708' b'71.462491' b'17398.291923'
b'950' b'5854279.000000' b'17527.498911' b'72.321787' b'17599.821425'
b'960' b'5854279.000000' b'17726.657579' b'73.238575' b'17799.896887'
b'970' b'5854279.000000' b'17929.088194' b'74.126190' b'18003.215120'
b'980' b'5854279.000000' b'18128.337141' b'74.955847' b'18203.293731'
b'990' b'5854279.000000' b'18328.639400' b'75.805787' b'18404.445939'
b'shortest' b'tour:' b'5854279.000000' b'time' b'18588.260679'
Run: 1
b'0' b'5893604.000000' b'11.361943' b'0.134600' b'11.496544'
b'10' b'5890159.000000' b'163.594009' b'0.950619' b'164.544634'
b'20' b'5887576.000000' b'324.601589' b'1.553756' b'326.155358'
b'30' b'5883935.000000' b'487.018378' b'2.158644' b'489.177043'
b'40' b'5881031.000000' b'654.099640' b'2.771443' b'656.871135'
b'50' b'5880874.000000' b'822.093943' b'3.393911' b'825.487914'
b'60' b'5879799.000000' b'987.925933' b'4.017549' b'991.943550'
b'70' b'5875756.000000' b'1156.345254' b'4.690787' b'1161.036115'
b'80' b'5874234.000000' b'1324.164723' b'5.318483' b'1329.483304'
b'90' b'5872996.000000' b'1490.104466' b'5.982564' b'1496.087132'
b'100' b'5869799.000000' b'1657.309355' b'6.585860' b'1663.895320'
b'110' b'5868572.000000' b'1826.024111' b'7.301081' b'1833.325303'
b'120' b'5867197.000000' b'1996.599628' b'8.110676' b'2004.710424'
b'130' b'5867197.000000' b'2164.830923' b'8.834094' b'2173.665140'
b'140' b'5866786.000000' b'2336.434147' b'9.510990' b'2345.945265'
b'150' b'5863955.000000' b'2505.546128' b'10.212951' b'2515.759215'
b'160' b'5863727.000000' b'2674.930506' b'10.894019' b'2685.824667'
b'170' b'5861104.000000' b'2846.069668' b'11.558698' b'2857.628514'
b'180' b'5861104.000000' b'3015.750978' b'12.222733' b'3027.973865'
b'190' b'5861104.000000' b'3186.546790' b'12.895285' b'3199.442239'
b'200' b'5861104.000000' b'3356.830658' b'13.622670' b'3370.453499'
b'210' b'5861104.000000' b'3531.147795' b'14.302806' b'3545.450777'
b'220' b'5858496.000000' b'3704.703071' b'14.974922' b'3719.678178'
b'230' b'5858496.000000' b'3878.653591' b'15.803078' b'3894.456864'
b'240' b'5858496.000000' b'4050.772113' b'16.569696' b'4067.342011'
b'250' b'5858496.000000' b'4222.804105' b'17.330390' b'4240.134723'
b'260' b'5858496.000000' b'4396.264744' b'18.032665' b'4414.297646'
b'270' b'5858496.000000' b'4569.634224' b'18.716095' b'4588.350579'
b'280' b'5858496.000000' b'4740.758047' b'19.403778' b'4760.162090'
b'290' b'5858496.000000' b'4917.546904' b'20.113263' b'4937.660438'
b'300' b'5858496.000000' b'5094.826708' b'20.843603' b'5115.670592'
b'310' b'5858496.000000' b'5272.521104' b'21.553523' b'5294.074913'
b'320' b'5858496.000000' b'5449.156228' b'22.320367' b'5471.476905'
b'330' b'5858496.000000' b'5625.624108' b'23.036832' b'5648.661254'
b'340' b'5857020.000000' b'5800.462364' b'23.752304' b'5824.214991'
b'350' b'5857020.000000' b'5979.221479' b'24.522280' b'6003.744091'
b'360' b'5857020.000000' b'6157.631598' b'25.344304' b'6182.976243'
b'370' b'5857020.000000' b'6336.715170' b'26.279251' b'6362.994782'
b'380' b'5857020.000000' b'6516.463452' b'27.076167' b'6543.539986'
b'390' b'5857020.000000' b'6694.662663' b'27.867668' b'6722.530709'
b'400' b'5857020.000000' b'6876.532467' b'28.640137' b'6905.173001'
b'410' b'5857020.000000' b'7058.675497' b'29.492573' b'7088.168476'
b'420' b'5855980.000000' b'7238.870567' b'30.254619' b'7269.125595'
b'430' b'5855980.000000' b'7421.907028' b'31.003021' b'7452.910462'
b'440' b'5855980.000000' b'7603.384330' b'31.771188' b'7635.155936'
b'450' b'5855980.000000' b'7784.712340' b'32.570178' b'7817.282942'
b'460' b'5855980.000000' b'7968.750516' b'33.344938' b'8002.095885'
b'470' b'5855980.000000' b'8150.379834' b'34.097989' b'8184.478264'
b'480' b'5855980.000000' b'8332.913109' b'34.867533' b'8367.781091'
b'490' b'5855980.000000' b'8518.569848' b'35.634413' b'8554.204717'
b'500' b'5855274.000000' b'8703.074909' b'36.576421' b'8739.651791'
b'510' b'5855274.000000' b'8888.373188' b'37.395743' b'8925.769395'
b'520' b'5855274.000000' b'9073.637577' b'38.184883' b'9111.822933'
b'530' b'5855274.000000' b'9258.772709' b'38.943325' b'9297.716513'
b'540' b'5855274.000000' b'9443.933944' b'39.737728' b'9483.672159'
b'550' b'5855274.000000' b'9631.365087' b'40.496890' b'9671.862475'
b'560' b'5855274.000000' b'9818.052703' b'41.224122' b'9859.277332'
b'570' b'5855274.000000' b'10005.545181' b'41.980606' b'10047.526299'
b'580' b'5855274.000000' b'10193.143898' b'42.840886' b'10235.985303'
b'590' b'5855274.000000' b'10379.609399' b'43.670458' b'10423.280388'
b'600' b'5855274.000000' b'10564.549204' b'44.486963' b'10609.036705'
b'610' b'5855274.000000' b'10753.040169' b'45.263822' b'10798.304533'
b'620' b'5855274.000000' b'10943.095973' b'46.071112' b'10989.167635'
b'630' b'5855274.000000' b'11132.520944' b'47.134791' b'11179.656290'
b'640' b'5855274.000000' b'11321.555710' b'48.013813' b'11369.570088'
b'650' b'5855274.000000' b'11511.898435' b'48.873715' b'11560.772720'
b'660' b'5855274.000000' b'11703.705745' b'49.696830' b'11753.403148'
b'670' b'5855274.000000' b'11895.252357' b'50.491558' b'11945.744495'
b'680' b'5855274.000000' b'12085.767643' b'51.402632' b'12137.170860'
b'690' b'5855274.000000' b'12277.600380' b'52.227581' b'12329.828553'
b'700' b'5855274.000000' b'12469.756798' b'53.033230' b'12522.790627'
b'710' b'5855274.000000' b'12659.498025' b'53.873115' b'12713.371761'
b'720' b'5855274.000000' b'12852.921636' b'54.712119' b'12907.634382'
b'730' b'5855274.000000' b'13044.766793' b'55.597486' b'13100.364915'
b'740' b'5855274.000000' b'13235.046135' b'56.412257' b'13291.459037'
b'750' b'5855274.000000' b'13428.044264' b'57.225518' b'13485.270439'
b'760' b'5855274.000000' b'13625.232861' b'58.067310' b'13683.300833'
b'770' b'5855274.000000' b'13819.249373' b'58.892434' b'13878.142479'
b'780' b'5855274.000000' b'14013.737908' b'59.770402' b'14073.508988'
b'790' b'5855274.000000' b'14207.763396' b'60.626263' b'14268.390345'
b'800' b'5855274.000000' b'14403.408983' b'61.455564' b'14464.865239'
b'810' b'5855274.000000' b'14598.634759' b'62.301177' b'14660.936635'
b'820' b'5855274.000000' b'14792.798404' b'63.170770' b'14855.969878'
b'830' b'5855274.000000' b'14988.017753' b'64.010620' b'15052.029080'
