Run: 0
b'760' b'6929231.000000' b'7212.074399' b'62.944293' b'7275.019898'
b'770' b'6929231.000000' b'7303.390129' b'63.881172' b'7367.272523'
b'780' b'6929231.000000' b'7394.159782' b'64.699484' b'7458.860503'
b'790' b'6928637.000000' b'7484.927755' b'65.511384' b'7550.440435'
b'800' b'6928637.000000' b'7575.675796' b'66.296707' b'7641.973829'
b'810' b'6928637.000000' b'7666.883489' b'67.062595' b'7733.947424'
b'820' b'6928637.000000' b'7757.758050' b'67.880082' b'7825.639482'
b'830' b'6928637.000000' b'7848.513368' b'68.805277' b'7917.320010'
b'840' b'6928637.000000' b'7939.641308' b'69.610583' b'8009.253270'
b'850' b'6928637.000000' b'8030.636525' b'70.373597' b'8101.011510'
b'860' b'6928637.000000' b'8121.430970' b'71.333911' b'8192.766283'
b'870' b'6928637.000000' b'8212.614022' b'72.342366' b'8284.957835'
b'880' b'6928149.000000' b'8303.189133' b'73.188945' b'8376.379559'
b'890' b'6928149.000000' b'8394.582673' b'73.947021' b'8468.531190'
b'900' b'6928149.000000' b'8485.765502' b'74.818537' b'8560.585550'
b'910' b'6928149.000000' b'8576.577427' b'75.707454' b'8652.286408'
b'920' b'6928149.000000' b'8667.950710' b'76.600932' b'8744.553193'
b'930' b'6928149.000000' b'8759.555103' b'77.479338' b'8837.036059'
b'940' b'6928149.000000' b'8850.499591' b'78.211758' b'8928.712977'
b'950' b'6928149.000000' b'8941.690563' b'79.051638' b'9020.743858'
b'960' b'6928149.000000' b'9032.999014' b'79.831688' b'9112.832373'
b'970' b'6928149.000000' b'9124.505062' b'80.593176' b'9205.099916'
b'980' b'6928149.000000' b'9216.105211' b'81.497241' b'9297.604142'
b'990' b'6928149.000000' b'9307.234394' b'82.365821' b'9389.601918'
b'shortest' b'tour:' b'6928149.000000' b'time' b'9472.617007'
Run: 1
b'0' b'6973326.000000' b'13.003266' b'0.074250' b'13.077517'
b'10' b'6966623.000000' b'142.738977' b'1.371752' b'144.110814'
b'20' b'6965519.000000' b'266.898985' b'2.530427' b'269.429520'
b'30' b'6963354.000000' b'387.563794' b'3.534618' b'391.098538'
b'40' b'6959132.000000' b'505.368289' b'4.296210' b'509.664643'
b'50' b'6955240.000000' b'619.432868' b'5.171350' b'624.604375'
b'60' b'6954018.000000' b'730.285118' b'6.245092' b'736.530392'
b'70' b'6954018.000000' b'838.769578' b'7.213037' b'845.982868'
b'80' b'6950597.000000' b'944.581629' b'8.147063' b'952.728956'
b'90' b'6947280.000000' b'1048.451907' b'9.157922' b'1057.610147'
b'100' b'6945208.000000' b'1150.537288' b'10.175695' b'1160.713318'
b'110' b'6945208.000000' b'1250.633975' b'11.139697' b'1261.774028'
b'120' b'6944297.000000' b'1350.027078' b'11.928072' b'1361.955515'
b'130' b'6941180.000000' b'1447.317415' b'12.884494' b'1460.202283'
b'140' b'6941180.000000' b'1543.890640' b'13.799279' b'1557.690311'
b'150' b'6941071.000000' b'1640.132729' b'14.638887' b'1654.772049'
b'160' b'6938004.000000' b'1735.667792' b'15.472101' b'1751.140357'
b'170' b'6938004.000000' b'1830.784031' b'16.308075' b'1847.092579'
b'180' b'6936499.000000' b'1924.591250' b'17.163003' b'1941.754743'
b'190' b'6935187.000000' b'2018.061032' b'18.040675' b'2036.102209'
b'200' b'6934267.000000' b'2111.081804' b'18.926283' b'2130.008610'
b'210' b'6934267.000000' b'2203.759110' b'19.879315' b'2223.638961'
b'220' b'6933127.000000' b'2296.413293' b'20.745633' b'2317.159478'
b'230' b'6933127.000000' b'2388.927245' b'21.557810' b'2410.485618'
b'240' b'6932141.000000' b'2481.265872' b'22.365210' b'2503.631656'
b'250' b'6932141.000000' b'2572.696272' b'23.252973' b'2595.949831'
b'260' b'6932141.000000' b'2664.568467' b'24.143515' b'2688.712584'
b'270' b'6932141.000000' b'2756.455759' b'25.061719' b'2781.518095'
b'280' b'6932141.000000' b'2847.709443' b'25.871402' b'2873.581485'
b'290' b'6932141.000000' b'2939.107992' b'26.781332' b'2965.889979'
b'300' b'6932141.000000' b'3030.129394' b'27.685389' b'3057.815446'
b'310' b'6932141.000000' b'3120.943706' b'28.551464' b'3149.495850'
b'320' b'6932141.000000' b'3212.056719' b'29.353603' b'3241.411021'
b'330' b'6932141.000000' b'3302.784584' b'30.211042' b'3332.996337'
b'340' b'6932141.000000' b'3394.128298' b'31.086141' b'3425.215168'
b'350' b'6931600.000000' b'3485.202177' b'31.976597' b'3517.179522'
b'360' b'6931600.000000' b'3576.035371' b'32.887411' b'3608.923548'
b'370' b'6931600.000000' b'3666.886093' b'33.758049' b'3700.644919'
b'380' b'6931600.000000' b'3757.777020' b'34.605606' b'3792.383411'
b'390' b'6931345.000000' b'3848.713027' b'35.444966' b'3884.158791'
b'400' b'6930419.000000' b'3939.498707' b'36.233076' b'3975.732662'
b'410' b'6930419.000000' b'4030.200905' b'37.168000' b'4067.369813'
b'420' b'6930419.000000' b'4121.094101' b'37.992300' b'4159.087322'
b'430' b'6930333.000000' b'4211.832204' b'38.891223' b'4250.724353'
b'440' b'6930333.000000' b'4302.515856' b'39.792400' b'4342.309205'
b'450' b'6930333.000000' b'4393.354450' b'40.636470' b'4433.991884'
b'460' b'6928519.000000' b'4483.906556' b'41.471236' b'4525.378770'
b'470' b'6928519.000000' b'4574.728729' b'42.303947' b'4617.033668'
b'480' b'6928519.000000' b'4665.414088' b'43.253743' b'4708.668838'
b'490' b'6928519.000000' b'4756.049215' b'44.183209' b'4800.233456'
b'500' b'6928519.000000' b'4846.230536' b'45.180967' b'4891.412547'
b'510' b'6928519.000000' b'4936.736810' b'46.151936' b'4982.889812'
b'520' b'6928519.000000' b'5027.103623' b'46.929926' b'5074.034629'
b'530' b'6928519.000000' b'5117.892126' b'47.757216' b'5165.650438'
b'540' b'6928519.000000' b'5208.490884' b'48.655863' b'5257.147856'
b'550' b'6928519.000000' b'5298.700999' b'49.505555' b'5348.207677'
b'560' b'6928519.000000' b'5388.845902' b'50.470331' b'5439.317393'
b'570' b'6928519.000000' b'5479.368965' b'51.420856' b'5530.791035'
b'580' b'6928519.000000' b'5569.505035' b'52.307609' b'5621.813907'
b'590' b'6928519.000000' b'5659.374074' b'53.175336' b'5712.550686'
b'600' b'6928519.000000' b'5749.762258' b'53.977653' b'5803.741199'
b'610' b'6928519.000000' b'5840.427694' b'54.849793' b'5895.278784'
b'620' b'6928519.000000' b'5930.806937' b'55.635544' b'5986.443820'
b'630' b'6928519.000000' b'6020.728426' b'56.555718' b'6077.285500'
b'640' b'6928519.000000' b'6111.161725' b'57.338584' b'6168.501692'
b'650' b'6928519.000000' b'6201.620297' b'58.190113' b'6259.811807'
b'660' b'6928519.000000' b'6292.183585' b'59.077985' b'6351.262981'
b'670' b'6928519.000000' b'6383.069167' b'59.947018' b'6443.017604'
b'680' b'6928519.000000' b'6473.533091' b'60.755293' b'6534.289813'
b'690' b'6928519.000000' b'6563.922249' b'61.590312' b'6625.514005'
b'700' b'6928519.000000' b'6654.156662' b'62.405807' b'6716.563930'
b'710' b'6928519.000000' b'6744.242635' b'63.324935' b'6807.569043'
b'720' b'6928519.000000' b'6834.783559' b'64.279674' b'6899.064719'
b'730' b'6928519.000000' b'6924.887337' b'65.213555' b'6990.102388'
b'740' b'6928519.000000' b'7015.130579' b'66.081346' b'7081.213435'
b'750' b'6928519.000000' b'7105.852757' b'67.037705' b'7172.891984'
b'760' b'6928519.000000' b'7196.338967' b'67.875393' b'7264.215895'
b'770' b'6928519.000000' b'7286.946355' b'68.741503' b'7355.689408'
b'780' b'6928519.000000' b'7377.160055' b'69.586347' b'7446.747964'
b'790' b'6928519.000000' b'7467.433857' b'70.533969' b'7537.969405'
b'800' b'6928519.000000' b'7557.771743' b'71.408444' b'7629.181786'
b'810' b'6928519.000000' b'7647.854207' b'72.168744' b'7720.024560'
b'820' b'6928519.000000' b'7737.975492' b'72.919686' b'7810.896790'
b'830' b'6928519.000000' b'7828.519445' b'73.776355' b'7902.297422'
b'840' b'6928519.000000' b'7919.095459' b'74.589007' b'7993.686097'
b'850' b'6928519.000000' b'8009.546242' b'75.507093' b'8085.054981'
b'860' b'6928519.000000' b'8100.446822' b'76.340630' b'8176.789112'
b'870' b'6928519.000000' b'8191.172912' b'77.191811' b'8268.366400'
b'880' b'6928519.000000' b'8281.984768' b'78.023956' b'8360.010413'
b'890' b'6928519.000000' b'8372.299671' b'78.858248' b'8451.159629'
b'900' b'6928519.000000' b'8462.924502' b'79.679157' b'8542.605384'
b'910' b'6928519.000000' b'8553.020173' b'80.592282' b'8633.614225'
b'920' b'6928519.000000' b'8642.859296' b'81.490280' b'8724.351376'
b'930' b'6928519.000000' b'8733.238242' b'82.217255' b'8815.457305'
b'940' b'6928519.000000' b'8824.131520' b'83.013838' b'8907.147179'
b'950' b'6928519.000000' b'8915.247271' b'83.848340' b'8999.097452'
b'960' b'6928519.000000' b'9005.411732' b'84.795550' b'9090.209136'
b'970' b'6928519.000000' b'9095.859761' b'85.675766' b'9181.537411'
b'980' b'6928519.000000' b'9186.137699' b'86.471123' b'9272.610722'
b'990' b'6928519.000000' b'9277.452075' b'87.257894' b'9364.711950'
b'shortest' b'tour:' b'6928519.000000' b'time' b'9447.397896'
Run: 2
b'0' b'6974746.000000' b'13.281909' b'0.076426' b'13.358335'
b'10' b'6968885.000000' b'143.208632' b'1.023638' b'144.232281'
b'20' b'6965289.000000' b'268.387477' b'1.871706' b'270.259208'
b'30' b'6964274.000000' b'389.132990' b'2.995512' b'392.128580'
b'40' b'6959701.000000' b'505.929641' b'3.919293' b'509.849041'
b'50' b'6959610.000000' b'619.958799' b'4.795974' b'624.754890'
b'60' b'6955815.000000' b'730.782951' b'5.579885' b'736.362959'
b'70' b'6955500.000000' b'838.279321' b'6.460044' b'844.739506'
b'80' b'6947665.000000' b'943.405674' b'7.344294' b'950.750127'
b'90' b'6947665.000000' b'1046.335432' b'8.384952' b'1054.720570'
b'100' b'6944865.000000' b'1148.113626' b'9.377728' b'1157.491572'
b'110' b'6944865.000000' b'1248.241824' b'10.274249' b'1258.516308'
b'120' b'6943886.000000' b'1347.350002' b'11.123072' b'1358.473325'
b'130' b'6940024.000000' b'1444.694822' b'11.948696' b'1456.643780'
b'140' b'6939297.000000' b'1541.128957' b'12.908744' b'1554.037970'
b'150' b'6939297.000000' b'1637.565718' b'13.815374' b'1651.381371'
b'160' b'6937851.000000' b'1732.423622' b'14.696856' b'1747.120767'
b'170' b'6937851.000000' b'1827.473475' b'15.564336' b'1843.038106'
b'180' b'6937720.000000' b'1921.543159' b'16.398211' b'1937.941698'
b'190' b'6937720.000000' b'2014.831288' b'17.211780' b'2032.043408'
b'200' b'6937720.000000' b'2107.998321' b'18.148652' b'2126.147327'
b'210' b'6932067.000000' b'2200.575570' b'18.951534' b'2219.527479'
b'220' b'6932067.000000' b'2293.274801' b'19.859206' b'2313.134396'
b'230' b'6932067.000000' b'2385.692423' b'20.773490' b'2406.466323'
b'240' b'6932067.000000' b'2478.315974' b'21.532608' b'2499.849057'
b'250' b'6932067.000000' b'2570.496617' b'22.349901' b'2592.847008'
b'260' b'6931784.000000' b'2662.374364' b'23.265289' b'2685.640155'
b'270' b'6931784.000000' b'2753.821430' b'24.129105' b'2777.951045'
b'280' b'6931784.000000' b'2845.228331' b'24.969096' b'2870.197958'
b'290' b'6931784.000000' b'2937.023376' b'25.867770' b'2962.891741'
b'300' b'6931784.000000' b'3028.686677' b'26.665082' b'3055.352369'
b'310' b'6931784.000000' b'3119.747659' b'27.476305' b'3147.224617'
b'320' b'6931784.000000' b'3211.346279' b'28.207533' b'3239.554475'
b'330' b'6931784.000000' b'3302.485861' b'28.947300' b'3331.433827'
b'340' b'6931784.000000' b'3393.468719' b'29.744022' b'3423.213415'
b'350' b'6931784.000000' b'3484.807204' b'30.620973' b'3515.428864'
b'360' b'6930941.000000' b'3575.906270' b'31.453920' b'3607.360894'
b'370' b'6930941.000000' b'3666.711678' b'32.227450' b'3698.939857'
b'380' b'6930941.000000' b'3758.736562' b'32.956915' b'3791.694206'
b'390' b'6930941.000000' b'3849.575484' b'33.700328' b'3883.276543'
b'400' b'6930941.000000' b'3940.289361' b'34.526150' b'3974.816259'
b'410' b'6930941.000000' b'4031.337932' b'35.417651' b'4066.756341'
b'420' b'6930941.000000' b'4121.837348' b'36.224716' b'4158.062834'
b'430' b'6930941.000000' b'4212.850941' b'37.085260' b'4249.937034'
b'440' b'6930698.000000' b'4303.652903' b'37.948585' b'4341.602339'
b'450' b'6930698.000000' b'4394.255079' b'38.777838' b'4433.033782'
b'460' b'6930367.000000' b'4484.696279' b'39.582380' b'4524.279586'
b'470' b'6930367.000000' b'4575.061224' b'40.295820' b'4615.357984'
b'480' b'6930367.000000' b'4666.422729' b'41.102916' b'4707.526602'
b'490' b'6930367.000000' b'4757.235278' b'41.853846' b'4799.090087'
b'500' b'6930367.000000' b'4848.069333' b'42.599622' b'4890.669926'
b'510' b'6930367.000000' b'4938.845460' b'43.339471' b'4982.185910'
b'520' b'6930367.000000' b'5029.404773' b'44.276430' b'5073.682192'
b'530' b'6930367.000000' b'5120.176175' b'45.077211' b'5165.254420'
b'540' b'6930367.000000' b'5210.338822' b'45.952525' b'5256.292396'
