Run: 0
b'760' b'5845998.000000' b'3674.163416' b'39.750674' b'3713.914753'
b'770' b'5845998.000000' b'3720.373362' b'40.164688' b'3760.538724'
b'780' b'5845998.000000' b'3766.691181' b'40.578717' b'3807.270580'
b'790' b'5845998.000000' b'3813.271400' b'41.023696' b'3854.295787'
b'800' b'5845998.000000' b'3859.689006' b'41.439138' b'3901.128842'
b'810' b'5845998.000000' b'3906.053677' b'41.899907' b'3947.954287'
b'820' b'5845998.000000' b'3952.375423' b'42.319682' b'3994.695819'
b'830' b'5845998.000000' b'3998.684077' b'42.753297' b'4041.438095'
b'840' b'5845968.000000' b'4044.755190' b'43.255579' b'4088.011514'
b'850' b'5845968.000000' b'4090.911871' b'43.641285' b'4134.553905'
b'860' b'5845968.000000' b'4137.288429' b'44.025124' b'4181.314310'
b'870' b'5845968.000000' b'4183.476846' b'44.451420' b'4227.929046'
b'880' b'5845968.000000' b'4229.787179' b'44.897259' b'4274.685239'
b'890' b'5845968.000000' b'4276.209469' b'45.313566' b'4321.523845'
b'900' b'5845968.000000' b'4322.609793' b'45.812375' b'4368.422984'
b'910' b'5845968.000000' b'4368.855092' b'46.205096' b'4415.061007'
b'920' b'5845968.000000' b'4415.247146' b'46.621161' b'4461.869137'
b'930' b'5845375.000000' b'4461.538246' b'47.049176' b'4508.588258'
b'940' b'5845375.000000' b'4507.755867' b'47.654780' b'4555.411489'
b'950' b'5845037.000000' b'4553.873728' b'48.099491' b'4601.974065'
b'960' b'5845037.000000' b'4600.165859' b'48.551466' b'4648.718177'
b'970' b'5845037.000000' b'4646.290464' b'49.043706' b'4695.335025'
b'980' b'5845037.000000' b'4692.526110' b'49.476242' b'4742.003210'
b'990' b'5845037.000000' b'4738.918186' b'49.914311' b'4788.833361'
b'shortest' b'tour:' b'5845037.000000' b'time' b'4830.996327'
Run: 1
b'0' b'5885761.000000' b'6.607887' b'0.051241' b'6.659128'
b'10' b'5880766.000000' b'71.687678' b'0.599357' b'72.287041'
b'20' b'5879200.000000' b'134.341156' b'1.213741' b'135.554908'
b'30' b'5875810.000000' b'195.274748' b'1.865471' b'197.140234'
b'40' b'5873215.000000' b'254.483867' b'2.431694' b'256.915582'
b'50' b'5870701.000000' b'311.808065' b'3.076361' b'314.884451'
b'60' b'5867357.000000' b'367.922716' b'3.808534' b'371.731281'
b'70' b'5866711.000000' b'422.547630' b'4.431829' b'426.979494'
b'80' b'5863258.000000' b'476.065880' b'5.026158' b'481.092077'
b'90' b'5862261.000000' b'528.910254' b'5.556428' b'534.466724'
b'100' b'5859771.000000' b'580.622118' b'6.139063' b'586.761227'
b'110' b'5858014.000000' b'631.655165' b'6.662372' b'638.317588'
b'120' b'5857586.000000' b'682.104058' b'7.183619' b'689.287730'
b'130' b'5855412.000000' b'731.916361' b'7.700903' b'739.617322'
b'140' b'5855171.000000' b'781.431766' b'8.251698' b'789.683527'
b'150' b'5854723.000000' b'830.588205' b'8.855657' b'839.443929'
b'160' b'5853399.000000' b'879.321505' b'9.438108' b'888.759684'
b'170' b'5852012.000000' b'927.653195' b'9.988576' b'937.641847'
b'180' b'5852012.000000' b'975.484294' b'10.502686' b'985.987064'
b'190' b'5852012.000000' b'1023.409349' b'11.121222' b'1034.530659'
b'200' b'5851262.000000' b'1070.963682' b'11.673626' b'1082.637400'
b'210' b'5851157.000000' b'1118.544769' b'12.267153' b'1130.812021'
b'220' b'5850501.000000' b'1166.026709' b'12.813062' b'1178.839877'
b'230' b'5850119.000000' b'1213.543894' b'13.332709' b'1226.876716'
b'240' b'5849121.000000' b'1260.630584' b'13.824353' b'1274.455055'
b'250' b'5849121.000000' b'1307.387167' b'14.373458' b'1321.760751'
b'260' b'5848410.000000' b'1354.580265' b'14.856908' b'1369.437305'
b'270' b'5847729.000000' b'1401.383619' b'15.334995' b'1416.718755'
b'280' b'5847729.000000' b'1448.309238' b'15.845140' b'1464.154530'
b'290' b'5847729.000000' b'1494.987502' b'16.378498' b'1511.366161'
b'300' b'5847729.000000' b'1541.629795' b'16.862832' b'1558.492793'
b'310' b'5846753.000000' b'1588.311414' b'17.437660' b'1605.749249'
b'320' b'5846753.000000' b'1634.846404' b'17.989697' b'1652.836282'
b'330' b'5846753.000000' b'1681.352480' b'18.498676' b'1699.851346'
b'340' b'5846753.000000' b'1727.926554' b'19.000181' b'1746.926933'
b'350' b'5846753.000000' b'1774.449242' b'19.552677' b'1794.002124'
b'360' b'5846753.000000' b'1820.976405' b'20.086124' b'1841.062738'
b'370' b'5846753.000000' b'1867.558887' b'20.594814' b'1888.153916'
b'380' b'5846753.000000' b'1914.110819' b'21.111175' b'1935.222217'
b'390' b'5846753.000000' b'1960.508075' b'21.617912' b'1982.126215'
b'400' b'5846753.000000' b'2007.022376' b'22.105593' b'2029.128206'
b'410' b'5846753.000000' b'2053.478919' b'22.632272' b'2076.111434'
b'420' b'5846753.000000' b'2099.986823' b'23.118561' b'2123.105631'
b'430' b'5846753.000000' b'2146.348010' b'23.602868' b'2169.951132'
b'440' b'5846753.000000' b'2192.835742' b'24.081832' b'2216.917835'
b'450' b'5846753.000000' b'2239.154218' b'24.590770' b'2263.745258'
b'460' b'5846253.000000' b'2285.767919' b'25.109481' b'2310.877678'
b'470' b'5846253.000000' b'2332.217343' b'25.589381' b'2357.807008'
b'480' b'5846253.000000' b'2378.858731' b'26.168592' b'2405.027615'
b'490' b'5846253.000000' b'2425.012447' b'26.678758' b'2451.691520'
b'500' b'5846253.000000' b'2471.516850' b'27.231663' b'2498.748838'
b'510' b'5846253.000000' b'2517.844714' b'27.747351' b'2545.592400'
b'520' b'5846253.000000' b'2564.063355' b'28.261913' b'2592.325611'
b'530' b'5846253.000000' b'2610.409771' b'28.775091' b'2639.185215'
b'540' b'5846253.000000' b'2656.787643' b'29.314878' b'2686.102882'
b'550' b'5846253.000000' b'2703.189962' b'29.868309' b'2733.058638'
b'560' b'5846253.000000' b'2749.491372' b'30.379574' b'2779.871318'
b'570' b'5846253.000000' b'2795.857286' b'30.937942' b'2826.795608'
b'580' b'5845899.000000' b'2842.064726' b'31.423744' b'2873.488857'
b'590' b'5845899.000000' b'2888.483906' b'31.924242' b'2920.408545'
b'600' b'5845899.000000' b'2934.694359' b'32.412393' b'2967.107174'
b'610' b'5845899.000000' b'2980.956641' b'32.949178' b'3013.906246'
b'620' b'5845899.000000' b'3027.256781' b'33.442169' b'3060.699384'
b'630' b'5845899.000000' b'3073.638767' b'33.931245' b'3107.570455'
b'640' b'5845899.000000' b'3120.165941' b'34.418554' b'3154.584948'
b'650' b'5845899.000000' b'3166.352823' b'34.909039' b'3201.262336'
b'660' b'5845899.000000' b'3212.584475' b'35.399059' b'3247.984016'
b'670' b'5845899.000000' b'3258.919079' b'35.897802' b'3294.817368'
b'680' b'5845899.000000' b'3305.285635' b'36.386177' b'3341.672305'
b'690' b'5845899.000000' b'3351.566640' b'36.878455' b'3388.445600'
b'700' b'5845899.000000' b'3397.796579' b'37.364151' b'3435.161242'
b'710' b'5845899.000000' b'3444.058208' b'37.892157' b'3481.950882'
b'720' b'5845544.000000' b'3490.255377' b'38.383025' b'3528.638925'
b'730' b'5845544.000000' b'3536.431662' b'38.923509' b'3575.355698'
b'740' b'5845544.000000' b'3582.921901' b'39.455204' b'3622.377635'
b'750' b'5845544.000000' b'3629.222456' b'39.945310' b'3669.168300'
b'760' b'5845544.000000' b'3675.582974' b'40.434460' b'3716.017971'
b'770' b'5845544.000000' b'3721.809923' b'40.966078' b'3762.776543'
b'780' b'5845544.000000' b'3768.069569' b'41.461876' b'3809.531990'
b'790' b'5845544.000000' b'3814.456108' b'41.953873' b'3856.410548'
b'800' b'5845544.000000' b'3860.782143' b'42.468809' b'3903.251524'
b'810' b'5845544.000000' b'3907.069885' b'43.021305' b'3950.091766'
b'820' b'5845544.000000' b'3953.400733' b'43.527769' b'3996.929081'
b'830' b'5845544.000000' b'3999.825479' b'44.034551' b'4043.860615'
b'840' b'5845544.000000' b'4046.285471' b'44.623550' b'4090.909611'
b'850' b'5845544.000000' b'4092.696652' b'45.137153' b'4137.834398'
b'860' b'5845544.000000' b'4139.076031' b'45.648716' b'4184.725347'
b'870' b'5845544.000000' b'4185.474443' b'46.184225' b'4231.659270'
b'880' b'5845544.000000' b'4231.753844' b'46.692175' b'4278.446631'
b'890' b'5845544.000000' b'4278.093668' b'47.196390' b'4325.290675'
b'900' b'5845544.000000' b'4324.554182' b'47.701691' b'4372.256496'
b'910' b'5845544.000000' b'4370.935561' b'48.178532' b'4419.114719'
b'920' b'5845544.000000' b'4417.216287' b'48.665423' b'4465.882354'
b'930' b'5845544.000000' b'4463.514955' b'49.128845' b'4512.644451'
b'940' b'5845544.000000' b'4509.620405' b'49.590292' b'4559.211351'
b'950' b'5845544.000000' b'4555.860330' b'50.058382' b'4605.919370'
b'960' b'5845544.000000' b'4602.090298' b'50.512874' b'4652.603831'
b'970' b'5845544.000000' b'4648.376377' b'50.995892' b'4699.372934'
b'980' b'5845544.000000' b'4694.711457' b'51.460685' b'4746.172810'
b'990' b'5845544.000000' b'4741.209061' b'51.923627' b'4793.133359'
b'shortest' b'tour:' b'5845544.000000' b'time' b'4835.638896'
Run: 2
b'0' b'5885140.000000' b'6.635926' b'0.119253' b'6.755179'
b'10' b'5883091.000000' b'71.565887' b'0.707709' b'72.273599'
b'20' b'5878681.000000' b'134.377568' b'1.364637' b'135.742210'
b'30' b'5877542.000000' b'195.359928' b'2.002051' b'197.361990'
b'40' b'5874084.000000' b'254.397992' b'2.621205' b'257.019213'
b'50' b'5871661.000000' b'311.961105' b'3.212867' b'315.174006'
b'60' b'5868082.000000' b'367.892321' b'3.818320' b'371.710679'
b'70' b'5865832.000000' b'422.514844' b'4.359396' b'426.874283'
b'80' b'5864227.000000' b'476.168970' b'4.934548' b'481.103566'
b'90' b'5863030.000000' b'528.898799' b'5.534215' b'534.433064'
b'100' b'5860568.000000' b'580.424332' b'6.079431' b'586.503814'
b'110' b'5859015.000000' b'631.362781' b'6.583379' b'637.946235'
b'120' b'5857917.000000' b'681.777336' b'7.087464' b'688.864876'
b'130' b'5855247.000000' b'731.381488' b'7.544821' b'738.926386'
b'140' b'5855247.000000' b'780.935791' b'8.040783' b'788.976654'
b'150' b'5854882.000000' b'829.944366' b'8.551223' b'838.495673'
b'160' b'5852894.000000' b'878.690495' b'9.011704' b'887.702290'
b'170' b'5852049.000000' b'927.246248' b'9.538328' b'936.784672'
b'180' b'5851577.000000' b'975.339319' b'10.029842' b'985.369261'
b'190' b'5851577.000000' b'1023.100983' b'10.498323' b'1033.599428'
b'200' b'5850863.000000' b'1071.067903' b'10.962579' b'1082.030607'
b'210' b'5850863.000000' b'1118.704029' b'11.387101' b'1130.091259'
b'220' b'5850324.000000' b'1165.967929' b'11.804833' b'1177.772896'
b'230' b'5849135.000000' b'1213.037220' b'12.256387' b'1225.293748'
b'240' b'5849135.000000' b'1260.490109' b'12.750469' b'1273.240726'
b'250' b'5849135.000000' b'1307.380047' b'13.178787' b'1320.558988'
b'260' b'5849006.000000' b'1354.298796' b'13.606687' b'1367.905644'
b'270' b'5848591.000000' b'1401.309894' b'14.203445' b'1415.513504'
b'280' b'5848480.000000' b'1448.190289' b'14.629363' b'1462.819822'
b'290' b'5848391.000000' b'1494.840419' b'15.072576' b'1509.913172'
b'300' b'5847993.000000' b'1541.717413' b'15.527825' b'1557.245422'
b'310' b'5847993.000000' b'1588.307623' b'15.946877' b'1604.254688'
b'320' b'5847993.000000' b'1635.080302' b'16.557774' b'1651.638268'
b'330' b'5847519.000000' b'1681.563337' b'17.085381' b'1698.648931'
b'340' b'5847519.000000' b'1728.273811' b'17.568547' b'1745.842576'
b'350' b'5847519.000000' b'1774.874112' b'18.051701' b'1792.926037'
b'360' b'5847519.000000' b'1821.661227' b'18.523013' b'1840.184468'
b'370' b'5847519.000000' b'1868.040326' b'19.022425' b'1887.062983'
b'380' b'5847354.000000' b'1914.379442' b'19.472318' b'1933.851995'
b'390' b'5847354.000000' b'1960.730739' b'20.018050' b'1980.749026'
b'400' b'5847354.000000' b'2007.239152' b'20.495171' b'2027.734564'
b'410' b'5847354.000000' b'2053.490052' b'21.011629' b'2074.501927'
b'420' b'5847354.000000' b'2099.832722' b'21.480703' b'2121.313675'
b'430' b'5847354.000000' b'2146.291642' b'21.955307' b'2168.247205'
b'440' b'5846743.000000' b'2192.761662' b'22.422845' b'2215.184773'
b'450' b'5846231.000000' b'2239.175577' b'22.940342' b'2262.116189'
b'460' b'5846231.000000' b'2285.591910' b'23.406649' b'2308.998835'
b'470' b'5846231.000000' b'2331.826951' b'23.913838' b'2355.741073'
b'480' b'5846231.000000' b'2378.011831' b'24.387892' b'2402.400012'
b'490' b'5846231.000000' b'2424.362790' b'24.844582' b'2449.207666'
b'500' b'5846231.000000' b'2470.724598' b'25.292973' b'2496.017870'
b'510' b'5846231.000000' b'2517.096771' b'25.771496' b'2542.868570'
b'520' b'5846125.000000' b'2563.506243' b'26.220879' b'2589.727435'
b'530' b'5846125.000000' b'2610.093947' b'26.671088' b'2636.765360'
b'540' b'5846125.000000' b'2656.265030' b'27.232824' b'2683.498181'
b'550' b'5846125.000000' b'2702.704110' b'27.723303' b'2730.427745'
b'560' b'5846125.000000' b'2749.098987' b'28.307599' b'2777.406925'
b'570' b'5846125.000000' b'2795.584830' b'28.815466' b'2824.400641'
b'580' b'5846125.000000' b'2841.763493' b'29.330558' b'2871.094402'
b'590' b'5846125.000000' b'2888.045057' b'29.870650' b'2917.916066'
b'600' b'5846125.000000' b'2934.359508' b'30.387159' b'2964.747034'
b'610' b'5846125.000000' b'2980.598395' b'30.888950' b'3011.487719'
b'620' b'5846125.000000' b'3026.804000' b'31.403038' b'3058.207421'
b'630' b'5846125.000000' b'3073.181655' b'31.918127' b'3105.100168'
b'640' b'5846125.000000' b'3119.594780' b'32.413170' b'3152.008342'
b'650' b'5846125.000000' b'3165.801261' b'32.900221' b'3198.701877'
b'660' b'5846125.000000' b'3212.271226' b'33.394409' b'3245.666037'
b'670' b'5846125.000000' b'3258.585773' b'33.878166' b'3292.464346'
b'680' b'5846125.000000' b'3304.817460' b'34.390383' b'3339.208259'
b'690' b'5846125.000000' b'3351.163096' b'34.875174' b'3386.038693'
b'700' b'5846125.000000' b'3397.445511' b'35.355180' b'3432.801135'
b'710' b'5846125.000000' b'3443.784613' b'35.850544' b'3479.635606'
b'720' b'5846125.000000' b'3489.968305' b'36.330293' b'3526.299053'
b'730' b'5846125.000000' b'3536.340832' b'36.897759' b'3573.239051'
b'740' b'5846125.000000' b'3582.623874' b'37.389845' b'3620.014197'
b'750' b'5845779.000000' b'3628.799432' b'37.891134' b'3666.691052'
b'760' b'5845779.000000' b'3675.153033' b'38.389083' b'3713.542606'
b'770' b'5845779.000000' b'3721.578816' b'38.982999' b'3760.562309'
b'780' b'5845779.000000' b'3768.014598' b'39.495396' b'3807.510496'
b'790' b'5845779.000000' b'3814.412915' b'40.009279' b'3854.422703'
b'800' b'5845779.000000' b'3860.535662' b'40.562232' b'3901.098410'
b'810' b'5845779.000000' b'3907.005829' b'41.071852' b'3948.078203'
b'820' b'5845779.000000' b'3953.536152' b'41.624692' b'3995.161370'
b'830' b'5845779.000000' b'3999.666190' b'42.117740' b'4041.784464'
b'840' b'5845779.000000' b'4046.078948' b'42.609078' b'4088.688566'
b'850' b'5845779.000000' b'4092.301186' b'43.162840' b'4135.464575'
b'860' b'5845779.000000' b'4138.504906' b'43.647423' b'4182.152885'
b'870' b'5845779.000000' b'4185.085378' b'44.255416' b'4229.341354'
b'880' b'5845779.000000' b'4231.397283' b'44.837217' b'4276.235065'
b'890' b'5845779.000000' b'4277.479276' b'45.353571' b'4322.833421'
b'900' b'5845779.000000' b'4324.029673' b'45.903740' b'4369.933992'
b'910' b'5845779.000000' b'4370.412631' b'46.466823' b'4416.880037'
b'920' b'5845779.000000' b'4416.550837' b'46.982393' b'4463.533836'
b'930' b'5845779.000000' b'4463.015823' b'47.539443' b'4510.555876'
b'940' b'5845779.000000' b'4509.294393' b'48.072383' b'4557.367396'
b'950' b'5845779.000000' b'4555.439942' b'48.654994' b'4604.095562'
b'960' b'5845779.000000' b'4601.848702' b'49.186452' b'4651.035785'
b'970' b'5845779.000000' b'4648.130207' b'49.721043' b'4697.851888'
b'980' b'5845779.000000' b'4694.331976' b'50.295704' b'4744.628326'
b'990' b'5845779.000000' b'4740.571026' b'50.812760' b'4791.384443'
b'shortest' b'tour:' b'5845779.000000' b'time' b'4833.808128'
Run: 3
b'0' b'5887922.000000' b'6.721384' b'0.113215' b'6.834599'
b'10' b'5880757.000000' b'71.914839' b'0.682968' b'72.597808'
b'20' b'5879060.000000' b'134.742291' b'1.232783' b'135.975080'
b'30' b'5876999.000000' b'195.575334' b'1.827475' b'197.402817'
b'40' b'5874975.000000' b'254.653191' b'2.330326' b'256.983530'
b'50' b'5870281.000000' b'312.304642' b'2.849515' b'315.154177'
b'60' b'5869281.000000' b'368.599339' b'3.426124' b'372.025488'
b'70' b'5867300.000000' b'423.578937' b'4.028517' b'427.607487'
b'80' b'5865288.000000' b'477.103806' b'4.604960' b'481.708804'
b'90' b'5862274.000000' b'529.772666' b'5.208599' b'534.981308'
b'100' b'5859879.000000' b'581.428990' b'5.741242' b'587.170280'
b'110' b'5859186.000000' b'632.190892' b'6.269149' b'638.460094'
b'120' b'5858357.000000' b'682.552294' b'6.776568' b'689.328918'
b'130' b'5854276.000000' b'732.571271' b'7.252636' b'739.823967'
b'140' b'5854071.000000' b'781.922570' b'7.752669' b'789.675332'
b'150' b'5853832.000000' b'830.965257' b'8.227172' b'839.192526'
b'160' b'5852447.000000' b'879.570968' b'8.693412' b'888.264483'
b'170' b'5852447.000000' b'927.756301' b'9.165142' b'936.921554'
b'180' b'5851292.000000' b'975.804173' b'9.686463' b'985.490750'
b'190' b'5851292.000000' b'1023.562763' b'10.211682' b'1033.774565'
b'200' b'5851292.000000' b'1071.311813' b'10.683226' b'1081.995164'
b'210' b'5850847.000000' b'1118.769656' b'11.283681' b'1130.053466'
b'220' b'5850598.000000' b'1166.086772' b'11.786588' b'1177.873493'
b'230' b'5850598.000000' b'1213.472003' b'12.335907' b'1225.808049'
